output_prefix	name	motif_id	cluster	total_tfbs	K4me1_mean_score	K4me1_bound	K4me2_mean_score	K4me2_bound	K4me1_K4me2_change	K4me1_K4me2_pvalue	K4me1_K4me2_highlighted
SOX12_MA1561.2	SOX12	MA1561.2	C_SOX12	145	2.01365	15	0.17961	0	0.3025	4.61152E-50	False
SOX13_MA1120.2	SOX13	MA1120.2	C_Sox3	281	2.44033	39	0.15628	2	0.42896	4.84908E-82	True
SOX14_MA1562.2	SOX14	MA1562.2	C_SOX14	190	2.11126	18	0.322	2	0.20839	7.74475E-47	False
SOX15_MA1152.2	SOX15	MA1152.2	C_SOX15	264	2.33157	27	0.11293	1	0.45224	1.91682E-84	True
SOX4_MA0867.3	SOX4	MA0867.3	C_SOX4	565	2.05985	51	0.18356	5	0.35375	4.73627E-85	True
SOX8_MA0868.3	SOX8	MA0868.3	C_Sox7	257	1.96699	24	0.23544	2	0.23594	2.11467E-50	False
SOX9_MA0077.2	SOX9	MA0077.2	C_Sox7	284	2.20215	24	0.20521	3	0.31223	9.95852E-69	False
SP3_MA0746.3	SP3	MA0746.3	C_KLF16	500	2.236	47	0.47823	11	0.06465	2.98803E-25	False
SP5_MA1965.2	SP5	MA1965.2	C_SP5	860	2.15605	85	0.30423	9	0.2092	3.63286E-69	False
SP8_MA0747.2	SP8	MA0747.2	C_KLF16	596	2.16124	56	0.38962	14	0.14848	1.19627E-50	False
SP9_MA1564.2	SP9	MA1564.2	C_KLF16	438	2.11735	36	0.50969	12	0.02953	6.24108E-06	False
SPIB_MA0081.3	SPIB	MA0081.3	C_Spi1	369	1.59051	26	0.36191	7	0.05209	1.12466E-13	False
SPIC_MA0687.2	SPIC	MA0687.2	C_SPIC	153	1.58458	12	0.43386	2	0.00759	5.94420E-01	False
SREBF1_MA0829.3	SREBF1	MA0829.3	C_SREBF1	135	1.71088	8	0.45638	0	-0.10524	1.33428E-16	False
SRY_MA0084.2	SRY	MA0084.2	C_SRY	204	1.88164	13	0.19522	2	0.22199	5.48660E-49	False
STAT1_MA0137.4	STAT1	MA0137.4	C_Stat4	110	1.33266	3	0.61386	2	-0.2789	1.75832E-48	False
STAT1STAT2_MA0517.2	STAT1::STAT2	MA0517.2	C_STAT1::STAT2	223	1.43602	14	0.26744	3	0.11068	1.31316E-19	False
STAT3_MA0144.3	STAT3	MA0144.3	C_STAT3	118	1.49403	5	0.29359	0	-0.00228	4.42355E-01	False
TAL1TCF3_MA0091.2	TAL1::TCF3	MA0091.2	C_TAL1::TCF3	157	1.56051	5	0.36845	2	-0.02571	3.15223E-03	False
TBR1_MA0802.2	TBR1	MA0802.2	C_TBR1	659	2.59864	86	0.11266	3	0.54847	1.58564E-110	True
TBX18_MA1565.2	TBX18	MA1565.2	C_TBR1	678	2.61182	92	0.13888	4	0.49608	1.33902E-106	True
TBX19_MA0804.2	TBX19	MA0804.2	C_TBX19	133	2.11743	13	0.28331	1	0.23007	1.21653E-40	False
TBX2_MA0688.2	TBX2	MA0688.2	C_TBR1	664	2.5565	81	0.12696	3	0.50827	4.60371E-108	True
TCF12_MA1648.2	TCF12	MA1648.2	C_TCF3	100	1.83373	7	0.40191	2	0.01473	4.16739E-02	False
TCF21_MA1568.2	TCF21	MA1568.2	C_BHLHA15	72	1.21363	2	0.47547	2	-0.2391	5.45020E-32	False
TCF4_MA0830.3	TCF4	MA0830.3	C_TCF3	135	1.7504	10	0.54821	3	-0.06927	1.64164E-11	False
TCF7_MA0769.3	TCF7	MA0769.3	C_Hnf1A	155	2.05381	16	0.18263	0	0.28764	2.59124E-53	False
TCF7L2_MA0523.2	TCF7L2	MA0523.2	C_Hnf1A	231	1.81807	24	0.17943	0	0.23872	1.63380E-49	False
TCFL5_MA0632.3	TCFL5	MA0632.3	C_TCFL5	107	1.06396	5	1.28306	5	-0.84697	4.44315E-94	True
TEAD1_MA0090.4	TEAD1	MA0090.4	C_TEAD2	170	1.69838	9	0.31931	1	0.07106	1.40493E-07	False
TEAD2_MA1121.2	TEAD2	MA1121.2	C_TEAD2	103	1.76096	4	0.22499	1	0.19697	4.32900E-29	False
TEAD4_MA0809.3	TEAD4	MA0809.3	C_TEAD2	153	1.70568	6	0.25013	1	0.12061	2.43585E-21	False
TFAP2A_MA0810.2	TFAP2A	MA0810.2	C_TFAP2A	151	2.11478	19	0.20917	0	0.29655	7.86306E-54	False
TFAP2A_MA0003.5	TFAP2A	MA0003.5	C_TFAP2A	221	1.85381	18	0.38731	3	-0.00947	1.69547E-01	False
TFAP2B_MA0811.2	TFAP2B	MA0811.2	C_TFAP2A	125	1.7761	9	0.29115	2	0.17635	2.82855E-29	False
TFAP2B_MA0812.2	TFAP2B	MA0812.2	C_TFAP2A	106	1.67853	4	0.33587	1	0.02024	9.50087E-01	False
TFAP2C_MA0524.3	TFAP2C	MA0524.3	C_TFAP2A	122	1.72509	7	0.30826	2	0.1325	2.09518E-21	False
TFAP2C_MA0814.3	TFAP2C	MA0814.3	C_TFAP2A	228	1.87566	18	0.41836	3	-0.02988	2.15602E-05	False
TFAP2E_MA1569.2	TFAP2E	MA1569.2	C_TFAP2A	117	1.35547	5	0.51704	1	-0.28127	5.00369E-47	False
TFAP4ETV1_MA1966.2	TFAP4::ETV1	MA1966.2	C_ETV2::FIGLA	161	1.62583	10	0.45511	3	-0.08758	6.50397E-15	False
TFAP4FLI1_MA1967.2	TFAP4::FLI1	MA1967.2	C_TFAP4::FLI1	244	1.74961	16	0.23077	2	0.16789	3.86984E-39	False
TFCP2_MA1968.2	TFCP2	MA1968.2	C_GRHL1	53	1.27131	1	0.32483	1	-0.09318	2.81427E-06	False
TFDP1_MA1122.2	TFDP1	MA1122.2	C_E2F6	94	1.49792	6	1.04212	4	-0.49888	4.53035E-66	True
TFEB_MA0692.2	TFEB	MA0692.2	C_Mlxip	110	1.39349	7	0.63729	1	-0.3627	3.61294E-53	False
TFEC_MA0871.3	TFEC	MA0871.3	C_TFEC	90	1.63863	8	0.75554	4	-0.2749	1.01843E-37	False
THAP1_MA0597.3	THAP1	MA0597.3	C_THAP1	170	1.72371	9	0.25562	2	0.12261	6.62382E-24	False
THRA_MA1969.2	THRA	MA1969.2	C_THRA	210	1.83572	17	0.34961	2	0.09387	1.41337E-20	False
THRB_MA1574.2	THRB	MA1574.2	C_NR2C2	200	2.31138	16	0.27776	3	0.25593	6.54061E-51	False
THRB_MA1575.2	THRB	MA1575.2	C_THRB	52	2.04675	6	0.54519	1	-0.03213	6.80674E-02	False
THRB_MA1576.2	THRB	MA1576.2	C_THRB	161	1.78139	12	0.418	1	-0.0679	5.32126E-10	False
TLX2_MA1577.2	TLX2	MA1577.2	C_TLX2	364	1.76686	15	0.18281	2	0.20386	1.00080E-60	False
TP73_MA0861.2	TP73	MA0861.2	C_TP73	76	2.05672	7	0.18087	0	0.30527	2.71585E-34	False
TRPS1_MA1970.2	TRPS1	MA1970.2	C_GATA2	106	1.64831	3	0.31282	1	0.08656	9.16116E-10	False
TWIST1_MA1123.3	TWIST1	MA1123.3	C_ZBTB18	195	1.65171	9	0.43842	3	-0.09111	1.25328E-18	False
UNCX_MA0721.2	UNCX	MA0721.2	C_VAX2	184	1.86534	10	0.15109	1	0.32109	2.84294E-59	False
USF1_MA0093.4	USF1	MA0093.4	C_BHLHE41	149	1.83993	13	0.46178	3	-0.05262	1.38942E-08	False
USF2_MA0526.5	USF2	MA0526.5	C_BHLHE41	53	1.60968	5	0.6252	0	-0.30443	9.11497E-33	False
VAX1_MA0722.2	VAX1	MA0722.2	C_VAX2	97	1.86688	4	0.25071	1	0.18147	9.15712E-31	False
VAX2_MA0723.3	VAX2	MA0723.3	C_VAX2	184	1.86534	10	0.15109	1	0.32109	2.84294E-59	False
VEZF1_MA1578.2	VEZF1	MA1578.2	C_VEZF1	541	2.11501	49	0.17759	4	0.40545	2.60401E-88	True
VSX1_MA0725.2	VSX1	MA0725.2	C_VAX2	97	1.86688	4	0.25071	1	0.18147	9.15712E-31	False
VSX2_MA0726.2	VSX2	MA0726.2	C_VAX2	97	1.86688	4	0.25071	1	0.18147	9.15712E-31	False
XBP1_MA0844.2	XBP1	MA0844.2	C_CREB3	107	1.50304	13	1.0671	5	-0.49092	5.47132E-66	True
YY2_MA0748.3	YY2	MA0748.3	C_YY2	56	1.25711	3	1.0756	3	-0.61035	1.44071E-65	True
ZBED1_MA0749.2	ZBED1	MA0749.2	C_ZBED1	26	1.10947	1	0.41267	0	-0.37071	8.64352E-27	False
ZBED2_MA1971.2	ZBED2	MA1971.2	C_ZBED2	30	0.88223	0	0.47853	0	-0.44413	1.37468E-35	True
ZBTB12_MA1649.2	ZBTB12	MA1649.2	C_ZBTB12	72	1.75334	6	0.34767	1	0.02816	5.15337E-03	False
ZBTB14_MA1650.2	ZBTB14	MA1650.2	C_ZBTB14	128	1.67299	11	0.99595	9	-0.38045	7.56770E-56	False
ZBTB18_MA0698.2	ZBTB18	MA0698.2	C_ZBTB18	272	1.89613	14	0.39952	7	0.04904	3.70217E-09	False
ZBTB26_MA1579.2	ZBTB26	MA1579.2	C_ZBTB26	197	2.05206	19	0.24162	2	0.23627	2.78176E-55	False
ZBTB33_MA0527.2	ZBTB33	MA0527.2	C_ZBTB33	39	1.75963	5	0.76374	1	-0.32543	7.81860E-31	False
ZBTB6_MA1581.2	ZBTB6	MA1581.2	C_ZBTB6	163	1.7869	8	0.34383	4	0.12868	7.58595E-25	False
ZBTB7A_MA0750.3	ZBTB7A	MA0750.3	C_ELK4	126	1.61504	11	1.00821	7	-0.328	1.04242E-60	False
ZBTB7B_MA0694.2	ZBTB7B	MA0694.2	C_ZBTB7B	150	1.92117	15	0.36252	5	0.13428	1.37528E-21	False
ZBTB7C_MA0695.2	ZBTB7C	MA0695.2	C_ZBTB7C	144	1.80819	11	0.43149	5	0.03699	1.67537E-02	False
ZEB1_MA0103.4	ZEB1	MA0103.4	C_TCF3	443	2.05759	42	0.33873	3	0.11859	1.78697E-40	False
ZFP42_MA1651.2	ZFP42	MA1651.2	C_ZFP42	207	1.69083	12	0.41647	5	-0.01871	5.14627E-03	False
ZFP57_MA1583.2	ZFP57	MA1583.2	C_ZFP57	36	1.18318	1	0.36684	0	-0.18055	4.58390E-11	False
ZIC4_MA0751.2	ZIC4	MA0751.2	C_ZIC5	287	1.82432	23	0.34781	4	0.06891	8.54934E-15	False
ZIC5_MA1584.2	ZIC5	MA1584.2	C_ZIC5	299	1.96156	23	0.2881	3	0.18681	5.41021E-44	False
ZIM3_MA1709.2	ZIM3	MA1709.2	C_ZIM3	249	1.41436	7	0.23563	2	0.06973	3.27413E-13	False
ZKSCAN1_MA1585.2	ZKSCAN1	MA1585.2	C_ZKSCAN1	101	1.65873	8	0.4046	1	-0.03643	3.03683E-02	False
ZKSCAN3_MA1973.2	ZKSCAN3	MA1973.2	C_ZKSCAN3	100	1.97466	6	0.50371	3	0.03764	7.18936E-03	False
ZKSCAN5_MA1652.2	ZKSCAN5	MA1652.2	C_ZKSCAN5	365	1.80228	29	0.33444	6	0.09922	2.83000E-27	False
ZNF140_MA1589.2	ZNF140	MA1589.2	C_ZNF140	158	1.95719	13	0.32455	4	0.14748	3.12542E-26	False
ZNF148_MA1653.2	ZNF148	MA1653.2	C_ZNF281	827	2.27452	92	0.29059	9	0.26044	8.08397E-81	False
ZNF16_MA1654.2	ZNF16	MA1654.2	C_ZNF16	207	1.95398	21	0.28876	3	0.2258	8.44697E-46	False
ZNF189_MA1725.2	ZNF189	MA1725.2	C_ZNF189	195	1.86423	23	0.31606	1	0.07166	2.30030E-13	False
ZNF211_MA1974.2	ZNF211	MA1974.2	C_ZNF211	37	1.63079	1	0.16207	0	0.14077	1.04663E-12	False
ZNF214_MA1975.2	ZNF214	MA1975.2	C_ZNF214	185	2.09994	16	0.16172	3	0.3397	2.13255E-67	False
ZNF257_MA1710.2	ZNF257	MA1710.2	C_ZNF257	389	1.81122	29	0.39852	7	0.03275	1.64449E-07	False
ZNF263_MA0528.3	ZNF263	MA0528.3	C_SP5	216	2.06236	20	0.34306	3	0.16927	3.14187E-44	False
ZNF274_MA1592.2	ZNF274	MA1592.2	C_ZNF274	124	1.84631	14	0.31985	1	0.10486	2.32020E-16	False
ZNF281_MA1630.3	ZNF281	MA1630.3	C_ZNF281	1038	2.35875	113	0.28262	13	0.28309	5.13199E-98	True
ZNF282_MA1154.2	ZNF282	MA1154.2	C_ZNF282	195	2.04942	14	0.2154	2	0.26492	4.68579E-53	False
ZNF317_MA1593.2	ZNF317	MA1593.2	C_ZNF317	397	1.86845	31	0.33294	4	0.09849	6.65240E-38	False
ZNF320_MA1976.2	ZNF320	MA1976.2	C_ZNF320	359	1.90899	29	0.3164	3	0.10013	4.64237E-29	False
ZNF324_MA1977.2	ZNF324	MA1977.2	C_ZNF324	123	1.48504	7	0.41054	3	-0.02787	2.63814E-02	False
ZNF331_MA1726.2	ZNF331	MA1726.2	C_ZNF331	255	1.96498	23	0.25853	0	0.18528	2.69661E-45	False
ZNF341_MA1655.2	ZNF341	MA1655.2	C_ZNF341	243	1.76054	18	0.28345	3	0.13048	4.26282E-38	False
ZNF343_MA1711.2	ZNF343	MA1711.2	C_ZNF343	164	1.74471	14	0.5352	3	-0.04617	2.96083E-05	False
ZNF354A_MA1978.2	ZNF354A	MA1978.2	C_ZNF354A	181	1.57367	4	0.24588	0	0.10282	1.40370E-18	False
ZNF384_MA1125.2	ZNF384	MA1125.2	C_ZNF384	165	0.91047	3	0.23375	1	-0.08583	1.45191E-12	False
ZNF410_MA0752.2	ZNF410	MA0752.2	C_ZNF410	107	2.00721	6	0.18735	1	0.26193	8.93501E-40	False
ZNF416_MA1979.2	ZNF416	MA1979.2	C_ZNF416	137	1.75494	8	0.30044	3	0.1555	2.70989E-29	False
ZNF417_MA1727.2	ZNF417	MA1727.2	C_ZNF417	45	0.79339	1	1.31701	4	-1.00915	2.48778E-72	True
ZNF449_MA1656.2	ZNF449	MA1656.2	C_ZNF449	184	2.17372	19	0.3263	0	0.13654	4.48669E-32	False
ZNF454_MA1712.2	ZNF454	MA1712.2	C_ZNF454	145	2.06865	21	0.45152	4	0.05192	2.16359E-05	False
ZNF530_MA1981.2	ZNF530	MA1981.2	C_ZNF530	416	1.87413	31	0.18074	1	0.28279	7.41330E-68	False
ZNF549_MA1728.2	ZNF549	MA1728.2	C_ZNF549	215	2.13609	22	0.36901	2	0.10709	1.68259E-21	False
ZNF574_MA1982.2	ZNF574	MA1982.2	C_ZNF574	125	1.90915	15	0.39571	1	0.04446	1.13484E-05	False
ZNF582_MA1983.2	ZNF582	MA1983.2	C_ZNF582	181	1.72352	14	0.22419	2	0.14507	1.16884E-30	False
ZNF610_MA1713.2	ZNF610	MA1713.2	C_ZNF610	191	1.60727	19	0.96741	9	-0.38132	3.54068E-70	False
ZNF652_MA1657.2	ZNF652	MA1657.2	C_ZNF652	126	1.66578	7	0.2961	2	0.12851	1.65133E-25	False
ZNF667_MA1984.2	ZNF667	MA1984.2	C_ZNF667	206	1.87323	14	0.18149	1	0.2588	3.99564E-55	False
ZNF675_MA1714.2	ZNF675	MA1714.2	C_ZNF675	187	1.81255	13	0.23356	1	0.20075	7.58902E-41	False
ZNF680_MA1729.2	ZNF680	MA1729.2	C_ZNF680	112	1.87748	8	0.14323	0	0.26303	6.03925E-47	False
ZNF682_MA1599.2	ZNF682	MA1599.2	C_ZNF682	166	1.81567	12	0.51369	4	-0.04011	1.02681E-05	False
ZNF684_MA1600.2	ZNF684	MA1600.2	C_ZNF684	300	1.96921	28	0.27105	2	0.16298	8.25235E-45	False
ZNF692_MA1986.2	ZNF692	MA1986.2	C_ZNF692	132	2.00213	9	0.2993	1	0.14487	1.32322E-25	False
ZNF701_MA1987.2	ZNF701	MA1987.2	C_ZNF701	563	1.83944	51	0.35919	8	0.09401	4.51069E-38	False
ZNF708_MA1730.2	ZNF708	MA1730.2	C_ZNF708	190	2.00835	13	0.25154	2	0.31075	5.05802E-58	False
ZNF740_MA0753.3	ZNF740	MA0753.3	C_ZNF740	564	2.27854	60	0.21534	4	0.33589	1.71273E-82	True
ZNF76_MA1716.2	ZNF76	MA1716.2	C_ZNF76	179	2.23965	14	0.21794	2	0.35069	8.39763E-61	False
ZNF768_MA1731.2	ZNF768	MA1731.2	C_ZNF768	460	1.69052	28	0.32279	3	0.05882	2.75224E-19	False
ZNF784_MA1717.2	ZNF784	MA1717.2	C_ZNF784	39	1.90578	0	0.26159	0	0.13855	3.20762E-09	False
ZNF816_MA1719.2	ZNF816	MA1719.2	C_ZNF816	210	2.16967	21	0.26011	2	0.22576	6.91313E-55	False
ZNF85_MA1720.2	ZNF85	MA1720.2	C_ZNF85	146	1.70371	11	0.34873	3	0.08894	1.73689E-14	False
ZNF93_MA1721.2	ZNF93	MA1721.2	C_ZNF93	199	1.80811	15	0.56525	4	-0.13395	3.39783E-36	False
ZSCAN29_MA1602.2	ZSCAN29	MA1602.2	C_ZSCAN29	65	1.94827	8	0.04216	0	0.67759	6.43809E-68	True
ZSCAN31_MA1722.2	ZSCAN31	MA1722.2	C_ZSCAN31	171	2.23592	20	0.22251	2	0.29402	4.61919E-55	False
Spz1_MA0111.1	Spz1	MA0111.1	C_Spz1	149	1.82036	7	0.36797	2	0.07411	3.70536E-06	False
Sox7_MA2095.1	Sox7	MA2095.1	C_Sox7	502	2.15801	52	0.20241	4	0.30467	7.15745E-81	False
Ebf4_MA2122.1	Ebf4	MA2122.1	C_Ebf4	158	1.95808	14	0.29064	2	0.17989	6.52959E-39	False
Hand1_MA2123.1	Hand1	MA2123.1	C_Hand1	205	1.9393	18	0.2018	0	0.21318	2.55180E-45	False
Hmga1_MA2124.1	Hmga1	MA2124.1	C_Hmga1	82	1.12052	2	0.45049	1	-0.22013	5.12153E-22	False
Zfp809_MA2125.1	Zfp809	MA2125.1	C_Zfp809	188	1.67925	8	0.34975	0	0.02143	6.98338E-05	False
Zfp961_MA2126.1	Zfp961	MA2126.1	C_Zfp961	65	1.22004	2	0.60358	1	-0.41843	2.15945E-50	False
Nr1h3_MA2337.1	Nr1h3	MA2337.1	C_NR2F2	405	1.93579	28	0.27999	4	0.16739	1.70805E-51	False
Ppara_MA2338.1	Ppara	MA2338.1	C_NR2F2	154	2.32633	18	0.23202	2	0.32024	8.70442E-58	False
Nanog_MA2339.1	Nanog	MA2339.1	C_Nanog	97	1.84834	5	0.03483	0	0.53102	3.53572E-62	True
Zbtb2_MA2340.1	Zbtb2	MA2340.1	C_Erg	111	1.35654	7	1.09031	7	-0.46287	3.46895E-68	True
AhrArnt_MA0006.2	Ahr::Arnt	MA0006.2	C_Ahr::Arnt	888	1.71004	57	0.5601	15	-0.13896	1.17460E-60	False
Alx1_MA0854.2	Alx1	MA0854.2	C_VAX2	65	1.86366	3	0.17384	0	0.25643	1.63129E-33	False
Alx4_MA0853.2	Alx4	MA0853.2	C_VAX2	95	1.87664	5	0.15891	0	0.2536	9.42804E-34	False
Ar_MA0007.4	Ar	MA0007.4	C_NR3C2	74	2.22206	8	0.11944	0	0.42751	9.04163E-54	True
Arid3b_MA0601.2	Arid3b	MA0601.2	C_Arid3b	54	1.89338	2	0.26808	1	0.24668	2.05508E-28	False
Arid5a_MA0602.2	Arid5a	MA0602.2	C_Arid5a	34	1.16677	1	0.12573	0	0.17516	1.78548E-07	False
Arntl_MA0603.2	Arntl	MA0603.2	C_Mlxip	41	1.03794	2	0.88658	0	-0.68143	2.50373E-54	True
Arx_MA0874.2	Arx	MA0874.2	C_VAX2	101	1.82152	4	0.17603	0	0.2321	9.90207E-39	False
Atf3_MA1988.2	Atf3	MA1988.2	C_FOSL1::JUN	239	1.93423	13	0.19538	1	0.24587	7.18994E-57	False
Atoh1_MA0461.3	Atoh1	MA0461.3	C_BHLHA15	94	1.34772	3	0.46305	2	-0.20278	3.57064E-26	False
Atoh1_MA1467.3	Atoh1	MA1467.3	C_NEUROD1	195	1.60261	8	0.4676	4	-0.10837	1.28431E-22	False
Bach1Mafk_MA0591.2	Bach1::Mafk	MA0591.2	C_MAFK	191	1.72321	14	0.33192	1	0.0167	5.83869E-04	False
Jun_MA0489.3	Jun	MA0489.3	C_FOSL1::JUN	161	2.00762	12	0.17311	0	0.28303	1.66259E-54	False
Bcl11B_MA1989.2	Bcl11B	MA1989.2	C_Bcl11B	191	1.62092	14	0.17135	0	0.19696	7.26852E-41	False
Bhlha15_MA1472.3	Bhlha15	MA1472.3	C_MYF5	169	1.89376	13	0.2469	1	0.18274	5.83667E-36	False
Creb5_MA0840.2	Creb5	MA0840.2	C_FOSL2::JUND	172	1.485	10	0.68481	2	-0.31035	2.62526E-53	False
Crx_MA0467.3	Crx	MA0467.3	C_PITX3	282	1.54632	17	0.19205	1	0.1462	5.24827E-34	False
Hoxa13_MA0650.4	Hoxa13	MA0650.4	C_CDX2	127	1.50917	6	0.15796	1	0.19007	4.12500E-35	False
Dlx2_MA0885.3	Dlx2	MA0885.3	C_TLX2	122	1.96321	5	0.22149	1	0.21199	1.50882E-37	False
Dlx3_MA0880.2	Dlx3	MA0880.2	C_TLX2	364	1.76686	15	0.18281	2	0.20386	1.00080E-60	False
Dlx4_MA0881.2	Dlx4	MA0881.2	C_TLX2	364	1.76686	15	0.18281	2	0.20386	1.00080E-60	False
Dlx5_MA1476.3	Dlx5	MA1476.3	C_TLX2	143	2.00506	5	0.20911	1	0.23465	7.26621E-49	False
Dmbx1_MA0883.2	Dmbx1	MA0883.2	C_PITX3	93	1.43224	4	0.2191	1	0.11234	1.86909E-13	False
Dmrt1_MA1603.2	Dmrt1	MA1603.2	C_Dmrt1	122	1.52007	8	0.25163	0	0.09516	1.39523E-11	False
Dux_MA0611.3	Dux	MA0611.3	C_Dux	117	1.827	7	0.2327	2	0.28519	1.22356E-46	False
Ebf2_MA1604.2	Ebf2	MA1604.2	C_EBF3	119	1.77623	10	0.39237	2	0.02069	1.37844E-01	False
Elf5_MA0136.4	Elf5	MA0136.4	C_Elf5	200	1.55299	12	0.33069	2	0.04792	2.69903E-10	False
Foxo1_MA0480.3	Foxo1	MA0480.3	C_Foxo3	224	1.61909	13	0.43011	4	-0.05341	1.19178E-06	False
Erg_MA0474.4	Erg	MA0474.4	C_Erg	318	1.83847	28	0.49911	9	0.00568	4.86888E-01	False
Esrrg_MA0643.2	Esrrg	MA0643.2	C_Esrrg	133	2.26636	14	0.28005	2	0.25204	1.94086E-44	False
Foxf1_MA1606.2	Foxf1	MA1606.2	C_Foxo3	224	1.61909	13	0.43011	4	-0.05341	1.19178E-06	False
Foxj3_MA0851.2	Foxj3	MA0851.2	C_Foxo3	233	1.54945	14	0.32923	1	-0.00526	8.24175E-01	False
Foxl2_MA1607.2	Foxl2	MA1607.2	C_Foxo3	299	1.55598	16	0.35135	6	0.0262	1.75019E-05	False
Foxo3_MA0157.4	Foxo3	MA0157.4	C_Foxo3	224	1.61909	13	0.43011	4	-0.05341	1.19178E-06	False
Gata3_MA0037.5	Gata3	MA0037.5	C_GATA2	115	1.67124	3	0.28834	1	0.12559	6.97575E-24	False
Gfi1B_MA0483.2	Gfi1B	MA0483.2	C_Gfi1B	277	1.96927	19	0.32306	8	0.1642	8.38617E-45	False
Gli1_MA1990.2	Gli1	MA1990.2	C_Gli2	196	2.36393	21	0.17542	1	0.35102	3.72374E-66	False
Gli2_MA0734.4	Gli2	MA0734.4	C_Gli2	170	2.25688	12	0.18952	1	0.31798	1.95082E-62	False
Gmeb1_MA0615.2	Gmeb1	MA0615.2	C_Gmeb1	26	1.22519	1	0.67045	0	-0.44152	1.19024E-30	True
Hand1Tcf3_MA0092.2	Hand1::Tcf3	MA0092.2	C_Hand1::Tcf3	130	1.41354	5	0.47769	2	-0.20244	1.78208E-34	False
Hic1_MA0739.2	Hic1	MA0739.2	C_Hic1	101	1.90484	10	0.1665	0	0.25505	2.98607E-34	False
Hmx1_MA0896.2	Hmx1	MA0896.2	C_Hmx1	158	2.01793	10	0.16578	1	0.32004	9.21026E-58	False
Hmx2_MA0897.2	Hmx2	MA0897.2	C_Hmx2	142	1.81286	6	0.24776	1	0.21602	7.07286E-39	False
Hmx3_MA0898.2	Hmx3	MA0898.2	C_Hmx1	145	2.02147	10	0.15269	1	0.34096	8.24203E-59	False
Hnf1A_MA1991.2	Hnf1A	MA1991.2	C_Hnf1A	284	1.78649	21	0.11745	0	0.34099	7.09630E-68	False
Hoxa11_MA0911.2	Hoxa11	MA0911.2	C_HOXC9	95	1.48594	4	0.22446	0	0.06144	6.58121E-10	False
Hoxd13_MA0909.4	Hoxd13	MA0909.4	C_CDX2	114	1.423	4	0.27039	1	0.09005	6.30414E-10	False
Ikzf3_MA1992.2	Ikzf3	MA1992.2	C_ELK4	294	1.78814	24	0.59464	10	-0.08243	5.38197E-24	False
Irf1_MA0050.4	Irf1	MA0050.4	C_Irf1	266	1.35534	9	0.34411	3	-0.05215	2.48683E-08	False
Isl1_MA1608.2	Isl1	MA1608.2	C_Isl1	428	2.3305	43	0.13744	3	0.41246	2.49623E-90	True
Lef1_MA0768.3	Lef1	MA0768.3	C_Hnf1A	194	1.96737	17	0.19178	0	0.24079	3.03538E-46	False
Lhx1_MA1518.3	Lhx1	MA1518.3	C_VAX2	120	2.38613	13	0.11619	0	0.47193	5.52696E-70	True
Lhx3_MA0135.2	Lhx3	MA0135.2	C_Lhx3	99	1.57046	4	0.1317	1	0.29427	2.77061E-49	False
Lhx4_MA0704.2	Lhx4	MA0704.2	C_VAX2	184	1.86534	10	0.15109	1	0.32109	2.84294E-59	False
Lhx8_MA0705.2	Lhx8	MA0705.2	C_VAX2	184	1.86534	10	0.15109	1	0.32109	2.84294E-59	False
Mafb_MA0117.3	Mafb	MA0117.3	C_NRL	243	1.84579	19	0.13612	0	0.33319	2.13209E-64	False
Mafg_MA0659.4	Mafg	MA0659.4	C_MAFK	160	2.00658	13	0.17914	1	0.27947	5.77302E-55	False
Mecom_MA0029.2	Mecom	MA0029.2	C_Mecom	126	1.90648	11	0.19088	1	0.28338	8.24985E-45	False
Mlxip_MA0622.2	Mlxip	MA0622.2	C_Mlxip	78	1.09807	4	0.80291	1	-0.58074	1.36511E-65	True
Msgn1_MA1524.3	Msgn1	MA1524.3	C_Msgn1	281	1.62016	11	0.2892	2	0.0455	3.17157E-08	False
Msx3_MA0709.2	Msx3	MA0709.2	C_TLX2	364	1.76686	15	0.18281	2	0.20386	1.00080E-60	False
Neurod2_MA1993.2	Neurod2	MA1993.2	C_MYF5	441	1.85584	33	0.34201	4	0.07739	8.34716E-28	False
Neurod2_MA0668.3	Neurod2	MA0668.3	C_NEUROD1	275	1.62741	13	0.42017	5	-0.04796	2.13456E-11	False
Nfat5_MA0606.3	Nfat5	MA0606.3	C_NFATC3	169	1.35472	4	0.33454	3	-0.05571	5.92974E-11	False
Nfatc1_MA0624.3	Nfatc1	MA0624.3	C_NFATC3	507	1.68006	29	0.25515	3	0.12689	6.07918E-40	False
Nfatc2_MA0152.3	Nfatc2	MA0152.3	C_NFATC3	184	1.72065	9	0.31711	2	0.10097	3.46514E-20	False
Nfe2l2_MA0150.3	Nfe2l2	MA0150.3	C_MAFG::NFE2L1	210	2.02666	21	0.24591	1	0.21155	2.27118E-52	False
Nkx2-1_MA1994.2	Nkx2-1	MA1994.2	C_NKX2-3	93	1.67226	6	0.26183	0	0.07921	3.73454E-06	False
Nkx3-1_MA0124.3	Nkx3-1	MA0124.3	C_ISL2	70	1.65387	4	0.3104	0	0.04686	5.76971E-05	False
Nkx3-2_MA0122.4	Nkx3-2	MA0122.4	C_ISL2	133	1.94738	12	0.16984	0	0.30678	2.62576E-57	False
Nobox_MA0125.2	Nobox	MA0125.2	C_TLX2	364	1.76686	15	0.18281	2	0.20386	1.00080E-60	False
