output_prefix	name	motif_id	cluster	total_tfbs	K4me1_mean_score	K4me1_bound	K4me2_mean_score	K4me2_bound	K4me1_K4me2_change	K4me1_K4me2_pvalue	K4me1_K4me2_highlighted
KLF4_MA0039.5	KLF4	MA0039.5	C_KLF5	591	2.12914	55	0.25145	5	0.24185	9.64346E-72	False
KLF6_MA1517.2	KLF6	MA1517.2	C_KLF16	273	2.11854	29	0.48354	7	0.02386	1.89945E-03	False
KLF7_MA1959.2	KLF7	MA1959.2	C_KLF5	288	1.86499	24	0.55303	9	-0.06843	4.46385E-16	False
KLF9_MA1107.3	KLF9	MA1107.3	C_KLF16	987	1.92079	74	0.30925	10	0.13175	1.57959E-57	False
LBX1_MA0618.2	LBX1	MA0618.2	C_VAX2	97	1.86688	4	0.25071	1	0.18147	9.15712E-31	False
LBX2_MA0699.2	LBX2	MA0699.2	C_TLX2	364	1.76686	15	0.18281	2	0.20386	1.00080E-60	False
LHX2_MA0700.3	LHX2	MA0700.3	C_TLX2	364	1.76686	15	0.18281	2	0.20386	1.00080E-60	False
LHX5_MA1519.2	LHX5	MA1519.2	C_VAX2	69	2.05256	5	0.1591	1	0.38841	5.74028E-52	False
LHX6_MA0658.2	LHX6	MA0658.2	C_VAX2	88	1.81058	3	0.25315	1	0.166	1.19559E-24	False
LHX9_MA0701.3	LHX9	MA0701.3	C_VAX2	97	1.86688	4	0.25071	1	0.18147	9.15712E-31	False
LMX1A_MA0702.3	LMX1A	MA0702.3	C_VAX2	100	1.58555	3	0.07484	0	0.38949	4.23312E-60	False
LMX1B_MA0703.3	LMX1B	MA0703.3	C_VAX2	100	1.58696	3	0.07484	0	0.39015	3.62866E-60	False
MAF_MA1520.2	MAF	MA1520.2	C_MAF	128	1.61733	5	0.36794	1	-0.05734	6.96997E-07	False
MAFNFE2_MA0501.2	MAF::NFE2	MA0501.2	C_MAFG::NFE2L1	206	1.96919	21	0.23113	0	0.20173	2.72233E-45	False
NFE2_MA0841.2	NFE2	MA0841.2	C_FOSL1::JUN	192	2.41728	20	0.14928	0	0.41488	2.83438E-71	True
MAFA_MA1521.2	MAFA	MA1521.2	C_MAF	128	1.69384	7	0.29591	1	0.05342	6.69082E-07	False
MAFF_MA0495.4	MAFF	MA0495.4	C_NRL	254	1.92102	20	0.11708	0	0.37464	1.59548E-71	False
MAFGNFE2L1_MA0089.3	MAFG::NFE2L1	MA0089.3	C_MAFG::NFE2L1	210	2.00063	21	0.26892	1	0.17064	6.03580E-35	False
MAXMYC_MA0059.2	MAX::MYC	MA0059.2	C_Mlxip	74	1.53701	5	0.38248	0	-0.07109	6.10858E-10	False
MYC_MA0147.4	MYC	MA0147.4	C_Mlxip	59	1.18076	4	0.81925	1	-0.54709	7.33023E-62	True
MAZ_MA1522.2	MAZ	MA1522.2	C_ZNF281	496	2.07875	51	0.33347	9	0.17446	2.54013E-57	False
MEF2A_MA0052.5	MEF2A	MA0052.5	C_MEF2A	82	1.35342	3	0.80121	3	-0.26671	5.12525E-33	False
MEF2C_MA0497.2	MEF2C	MA0497.2	C_MEF2A	108	1.2456	4	0.61596	3	-0.20077	7.94279E-26	False
MEIS1_MA0498.3	MEIS1	MA0498.3	C_MEIS1	2140	1.78469	140	0.28916	17	0.11904	2.23006E-65	False
MEIS1_MA1639.2	MEIS1	MA1639.2	C_MEIS2	175	1.93278	12	0.21695	0	0.18097	6.12773E-42	False
MEIS2_MA1640.2	MEIS2	MA1640.2	C_MEIS2	127	1.51526	5	0.21024	0	0.06795	1.57015E-09	False
MEIS3_MA0775.2	MEIS3	MA0775.2	C_MEIS1	275	1.65308	14	0.34919	6	0.06166	9.25881E-12	False
MEOX1_MA0661.2	MEOX1	MA0661.2	C_VAX2	142	1.98624	9	0.17126	1	0.31878	6.74217E-58	False
MEOX2_MA0706.2	MEOX2	MA0706.2	C_VAX2	69	2.05256	5	0.1591	1	0.38841	5.74028E-52	False
MGAEVX1_MA1960.2	MGA::EVX1	MA1960.2	C_MGA::EVX1	501	2.50629	51	0.1393	3	0.44993	2.23772E-101	True
MITF_MA0620.4	MITF	MA0620.4	C_BHLHE41	82	1.50206	5	0.65199	3	-0.2917	1.45253E-43	False
MIXL1_MA0662.2	MIXL1	MA0662.2	C_VAX2	184	1.86534	10	0.15109	1	0.32109	2.84294E-59	False
MLXIPL_MA0664.2	MLXIPL	MA0664.2	C_Mlxip	49	0.94421	2	0.90119	1	-0.75245	4.48656E-62	True
MNT_MA0825.2	MNT	MA0825.2	C_Mlxip	78	1.09807	4	0.80291	1	-0.58074	1.36511E-65	True
MNX1_MA0707.3	MNX1	MA0707.3	C_VAX2	184	1.86534	10	0.15109	1	0.32109	2.84294E-59	False
MSANTD3_MA1523.2	MSANTD3	MA1523.2	C_MSANTD3	240	1.91061	19	0.2544	2	0.18953	7.82664E-47	False
MSX1_MA0666.3	MSX1	MA0666.3	C_TLX2	364	1.76686	15	0.18281	2	0.20386	1.00080E-60	False
MSX2_MA0708.3	MSX2	MA0708.3	C_TLX2	364	1.76686	15	0.18281	2	0.20386	1.00080E-60	False
MXI1_MA1108.3	MXI1	MA1108.3	C_MXI1	591	1.94947	45	0.26199	8	0.19681	4.24439E-65	False
MYB_MA0100.4	MYB	MA0100.4	C_MYB	345	1.74061	24	0.21397	2	0.17646	2.84470E-48	False
MYCN_MA0104.5	MYCN	MA0104.5	C_Mlxip	30	0.92914	2	0.86912	0	-0.69568	3.37240E-54	True
MYF5_MA1641.2	MYF5	MA1641.2	C_MYF5	138	1.84876	8	0.20223	0	0.21519	1.34329E-43	False
MYOD1_MA0499.3	MYOD1	MA0499.3	C_MYOD1	234	1.65912	11	0.27468	0	0.04929	2.52970E-10	False
MYOG_MA0500.3	MYOG	MA0500.3	C_MYF5	227	1.90763	15	0.32214	2	0.12808	5.38739E-29	False
MZF1_MA0056.3	MZF1	MA0056.3	C_MZF1	137	1.71504	8	0.25547	1	0.07909	1.82657E-10	False
NEUROD1_MA1109.2	NEUROD1	MA1109.2	C_NEUROD1	275	1.62741	13	0.42017	5	-0.04796	2.13456E-11	False
NEUROG2_MA1642.2	NEUROG2	MA1642.2	C_NEUROD1	195	1.60261	8	0.4676	4	-0.10837	1.28431E-22	False
NFATC3_MA0625.3	NFATC3	MA0625.3	C_NFATC3	507	1.68006	29	0.25515	3	0.12689	6.07918E-40	False
NFATC4_MA1525.3	NFATC4	MA1525.3	C_NFATC4	146	1.49058	3	0.2384	2	0.17722	3.98618E-33	False
NFIA_MA0670.2	NFIA	MA0670.2	C_NFIA	284	1.87341	22	0.21192	3	0.27067	7.28457E-56	False
NFIB_MA1643.2	NFIB	MA1643.2	C_NFIB	99	1.94796	9	0.35492	1	0.05401	2.62398E-05	False
NFIC_MA0161.3	NFIC	MA0161.3	C_NFIA	58	1.84763	3	0.19314	0	0.21749	3.25664E-26	False
NFIC_MA1527.2	NFIC	MA1527.2	C_NFIC::TLX1	100	1.70983	8	0.61907	2	-0.16082	1.36185E-24	False
NFIL3_MA0025.3	NFIL3	MA0025.3	C_NFIL3	139	1.8546	11	0.30657	1	0.10074	2.85689E-11	False
NFIX_MA0671.2	NFIX	MA0671.2	C_NFIA	284	1.87341	22	0.21192	3	0.27067	7.28457E-56	False
NFIX_MA1528.2	NFIX	MA1528.2	C_NFIC::TLX1	96	1.90871	8	0.46467	1	-0.03794	6.38292E-05	False
NFKB2_MA0778.2	NFKB2	MA0778.2	C_NFKB1	68	1.92441	4	0.25554	1	0.18617	5.14874E-19	False
NFYA_MA0060.4	NFYA	MA0060.4	C_NFYA	314	2.03912	25	0.81898	18	-0.17374	3.18175E-49	False
NFYB_MA0502.3	NFYB	MA0502.3	C_NFYB	331	1.88221	20	0.58564	12	-0.06125	3.44053E-11	False
NFYC_MA1644.2	NFYC	MA1644.2	C_NFYA	270	2.0796	21	0.74575	13	-0.14299	6.12010E-37	False
NHLH2_MA1529.2	NHLH2	MA1529.2	C_NHLH2	154	1.81364	13	0.66092	5	-0.19362	7.31869E-41	False
NKX2-2_MA1645.2	NKX2-2	MA1645.2	C_NKX2-2	248	1.8856	13	0.29148	3	0.1848	7.76785E-43	False
NKX2-3_MA0672.2	NKX2-3	MA0672.2	C_NKX2-3	166	1.74493	13	0.29969	0	0.06606	1.24260E-11	False
NKX2-4_MA2003.2	NKX2-4	MA2003.2	C_NKX2-3	176	1.91128	18	0.2345	0	0.18566	4.63995E-39	False
NKX2-5_MA0063.3	NKX2-5	MA0063.3	C_NKX2-2	161	1.83601	8	0.16249	1	0.30846	4.94101E-56	False
NKX2-8_MA0673.2	NKX2-8	MA0673.2	C_NKX2-3	172	1.89693	16	0.21955	0	0.1998	3.99108E-42	False
NKX6-1_MA0674.2	NKX6-1	MA0674.2	C_VAX2	100	1.58555	3	0.07484	0	0.38949	4.23312E-60	False
NKX6-2_MA0675.2	NKX6-2	MA0675.2	C_VAX2	184	1.86534	10	0.15109	1	0.32109	2.84294E-59	False
NKX6-3_MA1530.2	NKX6-3	MA1530.2	C_NKX6-3	377	2.47078	37	0.13355	1	0.44991	1.90493E-94	True
NOTO_MA0710.2	NOTO	MA0710.2	C_VAX2	97	1.86688	4	0.25071	1	0.18147	9.15712E-31	False
NR1D1_MA1531.2	NR1D1	MA1531.2	C_NR1D1	177	1.9812	17	0.21697	0	0.24298	1.27272E-48	False
NR1H4RXRA_MA1146.2	NR1H4::RXRA	MA1146.2	C_NR4A2::RXRA	111	2.06885	10	0.18664	0	0.31324	1.96690E-46	False
NR1I2_MA1533.2	NR1I2	MA1533.2	C_NR1I2	90	2.04157	11	0.25811	1	0.19541	2.22753E-29	False
NR1I3_MA1534.2	NR1I3	MA1534.2	C_NR1I3	128	1.74872	5	0.32063	0	0.05316	1.41960E-06	False
NR2C1_MA1535.2	NR2C1	MA1535.2	C_NR2C1	395	2.23056	46	0.32336	7	0.20252	8.97524E-60	False
NR2C2_MA0504.2	NR2C2	MA0504.2	C_NR2C2	346	2.25809	33	0.26484	4	0.25351	3.24120E-64	False
NR2C2_MA1536.2	NR2C2	MA1536.2	C_NR2F2	405	1.93579	28	0.27999	4	0.16739	1.70805E-51	False
NR2F1_MA0017.3	NR2F1	MA0017.3	C_NR2F1	221	2.18545	23	0.26241	4	0.29197	9.47693E-65	False
NR2F1_MA1537.2	NR2F1	MA1537.2	C_NR2C2	197	2.09425	15	0.26695	3	0.22538	1.03320E-43	False
NR2F2_MA1111.2	NR2F2	MA1111.2	C_NR2F2	106	2.22552	11	0.26021	2	0.28848	1.47991E-45	False
NR3C1_MA0113.4	NR3C1	MA0113.4	C_NR3C2	61	2.16216	7	0.0	0	0.73753	1.97492E-74	True
NR3C2_MA0727.2	NR3C2	MA0727.2	C_NR3C2	69	2.09104	7	0.03624	0	0.6002	1.23435E-64	True
NR4A1_MA1112.3	NR4A1	MA1112.3	C_NR4A1	227	1.99617	15	0.19667	3	0.28343	9.31816E-61	False
NR4A2_MA0160.3	NR4A2	MA0160.3	C_NR4A1	191	2.08073	14	0.18588	2	0.31737	3.37803E-62	False
NR4A2RXRA_MA1147.2	NR4A2::RXRA	MA1147.2	C_NR4A2::RXRA	114	1.96563	7	0.15862	0	0.32853	2.74037E-55	False
NR6A1_MA1541.2	NR6A1	MA1541.2	C_NR6A1	78	2.05818	9	0.30236	2	0.17946	1.03171E-30	False
NRL_MA0842.3	NRL	MA0842.3	C_NRL	245	1.82665	16	0.17557	1	0.25586	3.64679E-59	False
ONECUT1_MA0679.3	ONECUT1	MA0679.3	C_ONECUT1	151	1.76844	7	0.24912	3	0.17441	1.46570E-26	False
ONECUT3_MA0757.2	ONECUT3	MA0757.2	C_ONECUT3	73	1.29407	2	0.22037	2	0.07846	1.58171E-06	False
OSR1_MA1542.2	OSR1	MA1542.2	C_OSR2	147	2.00982	13	0.34827	1	0.09264	1.34558E-16	False
OSR2_MA1646.2	OSR2	MA1646.2	C_OSR2	240	1.76289	16	0.45099	3	-0.01549	1.72064E-04	False
OTX1_MA0711.2	OTX1	MA0711.2	C_PITX3	282	1.54632	17	0.19205	1	0.1462	5.24827E-34	False
OTX2_MA0712.3	OTX2	MA0712.3	C_PITX3	179	1.58923	13	0.16648	1	0.22279	1.04770E-43	False
OVOL1_MA1544.2	OVOL1	MA1544.2	C_OVOL1	34	1.52936	2	0.77082	1	-0.35341	3.60435E-32	False
OVOL2_MA1545.2	OVOL2	MA1545.2	C_OVOL1	32	1.9415	3	0.8216	1	-0.28279	3.68651E-25	False
PATZ1_MA1961.2	PATZ1	MA1961.2	C_ZNF281	742	2.10384	76	0.41043	9	0.09328	4.18045E-39	False
PAX2_MA0067.3	PAX2	MA0067.3	C_PAX1	67	1.95307	7	0.72833	3	-0.16226	2.04546E-20	False
PAX3_MA1546.2	PAX3	MA1546.2	C_PAX3	122	2.00555	8	0.38524	2	0.09537	8.42656E-16	False
PBX1_MA0070.2	PBX1	MA0070.2	C_PBX1	131	1.71804	9	0.43191	3	-0.02728	8.73915E-03	False
PBX2_MA1113.3	PBX2	MA1113.3	C_MEIS2	123	1.42698	5	0.25693	0	0.01123	5.89747E-01	False
PBX3_MA1114.2	PBX3	MA1114.2	C_PBX3	373	1.87248	31	0.41516	8	0.05231	2.37605E-18	False
PDX1_MA0132.3	PDX1	MA0132.3	C_VAX2	184	1.86534	10	0.15109	1	0.32109	2.84294E-59	False
PHOX2B_MA0681.3	PHOX2B	MA0681.3	C_PHOX2B	100	1.23393	4	0.22183	0	-0.00579	2.41565E-01	False
PITX3_MA0714.2	PITX3	MA0714.2	C_PITX3	282	1.54632	17	0.19205	1	0.1462	5.24827E-34	False
PKNOX1_MA0782.3	PKNOX1	MA0782.3	C_PBX3	369	2.00183	32	0.33678	5	0.14352	6.34042E-47	False
PLAGL2_MA1548.2	PLAGL2	MA1548.2	C_PLAGL2	112	2.09024	16	0.38205	3	0.21185	1.39299E-35	False
POU1F1_MA0784.3	POU1F1	MA0784.3	C_POU3F2	623	2.25131	56	0.18019	1	0.32842	4.75691E-92	True
POU2F1_MA0785.2	POU2F1	MA0785.2	C_POU3F2	754	2.1031	61	0.19687	2	0.27234	4.43960E-85	True
POU2F2_MA0507.3	POU2F2	MA0507.3	C_POU3F2	728	2.17686	62	0.20186	2	0.28089	1.41728E-87	True
POU2F3_MA0627.3	POU2F3	MA0627.3	C_POU3F2	551	1.99881	39	0.2224	3	0.22662	3.20736E-73	False
POU3F1_MA0786.2	POU3F1	MA0786.2	C_POU3F2	771	2.09192	64	0.20709	4	0.26804	1.15550E-86	True
POU4F1_MA0790.2	POU4F1	MA0790.2	C_POU4F2	175	1.9976	14	0.15393	2	0.36795	7.39634E-64	False
POU4F2_MA0683.2	POU4F2	MA0683.2	C_POU4F2	206	1.89844	13	0.20698	3	0.2999	4.97130E-61	False
POU4F3_MA0791.2	POU4F3	MA0791.2	C_POU4F2	171	1.93416	11	0.17568	2	0.32071	4.98648E-60	False
POU5F1_MA1115.2	POU5F1	MA1115.2	C_POU3F2	453	2.0288	36	0.20022	2	0.25988	1.38699E-67	False
POU6F1_MA0628.2	POU6F1	MA0628.2	C_VAX2	184	1.86534	10	0.15109	1	0.32109	2.84294E-59	False
POU6F1_MA1549.2	POU6F1	MA1549.2	C_POU6F2	312	2.4993	29	0.06357	0	0.56406	3.84214E-98	True
POU6F2_MA0793.2	POU6F2	MA0793.2	C_POU6F2	336	2.56506	33	0.1049	0	0.49927	3.13292E-95	True
PPARARXRA_MA1148.2	PPARA::RXRA	MA1148.2	C_PPARA::RXRA	212	2.2736	24	0.251	2	0.30136	4.18658E-61	False
PPARD_MA1550.2	PPARD	MA1550.2	C_NR2C2	212	2.19456	16	0.33048	3	0.16928	3.66449E-36	False
PPARG_MA0066.2	PPARG	MA0066.2	C_PPARG	147	1.98188	9	0.09062	0	0.44701	3.76126E-70	True
PRDM1_MA0508.4	PRDM1	MA0508.4	C_PRDM1	225	1.50382	11	0.20359	0	0.12452	2.47020E-28	False
PRDM9_MA1723.2	PRDM9	MA1723.2	C_PRDM9	753	2.02367	68	0.25764	12	0.28678	2.29887E-83	True
PRRX1_MA0716.2	PRRX1	MA0716.2	C_VAX2	184	1.86534	10	0.15109	1	0.32109	2.84294E-59	False
PRRX2_MA0075.4	PRRX2	MA0075.4	C_VAX2	97	1.86688	4	0.25071	1	0.18147	9.15712E-31	False
RARARXRG_MA1149.2	RARA::RXRG	MA1149.2	C_RARA	188	2.21314	19	0.38552	4	0.14181	1.78982E-27	False
RARB_MA1552.2	RARB	MA1552.2	C_RXRG	63	2.08038	7	0.19208	0	0.23131	6.65995E-30	False
RARG_MA1553.2	RARG	MA1553.2	C_RXRG	68	2.30429	7	0.18292	0	0.31693	1.27106E-35	False
RAX_MA0718.2	RAX	MA0718.2	C_TLX2	364	1.76686	15	0.18281	2	0.20386	1.00080E-60	False
RAX2_MA0717.2	RAX2	MA0717.2	C_TLX2	364	1.76686	15	0.18281	2	0.20386	1.00080E-60	False
RBPJ_MA1116.2	RBPJ	MA1116.2	C_RBPJ	425	1.73216	22	0.32483	6	0.10862	1.08006E-36	False
RELB_MA1117.2	RELB	MA1117.2	C_RELB	63	1.82056	4	0.33315	1	0.06156	1.32636E-04	False
REST_MA0138.3	REST	MA0138.3	C_REST	141	1.60004	5	0.4038	1	-0.09296	1.39347E-13	False
RFX2_MA0600.3	RFX2	MA0600.3	C_RFX1	111	1.92001	12	0.63702	5	-0.07626	1.79646E-12	False
RFX4_MA0799.3	RFX4	MA0799.3	C_RFX4	56	1.413	1	0.49422	3	-0.13467	4.93833E-18	False
