MA1958.2 HOXD12::ELK1	Cluster_143
MA1931.1 ELK1::HOXA1	Cluster_144
MA1957.1 HOXB2::ELK1	Cluster_144
MA1940.2 ETV2::DRGX	Cluster_144
MA1944.2 ETV5::DRGX	Cluster_144
MA1948.2 ETV5::HOXA2	Cluster_144
MA1949.2 FLI1::DRGX	Cluster_144
MA1943.2 ETV2::HOXB13	Cluster_145
MA2326.1 IKZF2	Cluster_146
MA0136.4 Elf5	Cluster_147
MA0508.4 PRDM1	Cluster_148
MA1483.3 ELF2	Cluster_149
MA0686.2 SPDEF	Cluster_149
MA2100.1 ZSCAN16	Cluster_15
MA0641.1 ELF4	Cluster_150
MA0028.3 ELK1	Cluster_151
MA0759.3 ELK3	Cluster_151
MA0760.2 ERF	Cluster_151
MA0098.4 ETS1	Cluster_151
MA1484.2 ETS2	Cluster_151
MA0762.2 ETV2	Cluster_151
MA0763.2 ETV3	Cluster_151
MA0764.4 ETV4	Cluster_151
MA0765.4 ETV5	Cluster_151
MA0156.4 FEV	Cluster_151
MA0475.3 FLI1	Cluster_151
MA2340.1 Zbtb2	Cluster_151
MA2329.1 ZBTB11	Cluster_152
MA1708.2 ETV7	Cluster_152
MA0076.3 ELK4	Cluster_152
MA0645.2 ETV6	Cluster_152
MA0750.3 ZBTB7A	Cluster_152
MA2332.1 ZNF175	Cluster_153
MA0598.4 EHF	Cluster_153
MA0473.4 ELF1	Cluster_153
MA0640.3 ELF3	Cluster_153
MA0761.3 ETV1	Cluster_153
MA0062.4 GABPA	Cluster_153
MA0474.4 Erg	Cluster_153
MA1992.2 Ikzf3	Cluster_153
MA0081.3 SPIB	Cluster_154
MA0080.7 Spi1	Cluster_154
MA0687.2 SPIC	Cluster_155
MA1936.2 ERF::FOXO1	Cluster_156
MA1946.2 ETV5::FOXI1	Cluster_156
MA1953.2 FOXO1::ELF1	Cluster_156
MA1954.2 FOXO1::ELK1	Cluster_156
MA1955.2 FOXO1::ELK3	Cluster_156
MA1956.2 FOXO1::FLI1	Cluster_156
MA1935.2 ERF::FOXI1	Cluster_157
MA1942.2 ETV2::FOXI1	Cluster_157
MA1950.2 FLI1::FOXI1	Cluster_157
MA1952.2 FOXJ2::ELF1	Cluster_157
MA1947.2 ETV5::FOXO1	Cluster_158
MA1508.2 IKZF1	Cluster_159
MA0113.4 NR3C1	Cluster_16
MA0727.2 NR3C2	Cluster_16
MA0007.4 Ar	Cluster_16
