name	motif_id	total_tfbs	K4me1_mean_score	K4me1_bound	K4me2_mean_score	K4me2_bound	K4me1_K4me2_change	K4me1_K4me2_pvalue
MEIS1	MA1639.2	175	1.93278	12	0.21695	0	0.18097	6.12773e-42
PAX8	MA2094.1	88	1.62487	9	0.91955	5	-0.31489	3.89587e-41
TBXT	MA0009.2	122	2.04924	10	0.28232	2	0.22127	6.77824e-41
Bcl11B	MA1989.2	191	1.62092	14	0.17135	0	0.19696	7.26852e-41
NHLH2	MA1529.2	154	1.81364	13	0.66092	5	-0.19362	7.31869e-41
ZNF675	MA1714.2	187	1.81255	13	0.23356	1	0.20075	7.58902e-41
FOXB1	MA0845.1	241	1.70795	16	0.23447	2	0.15737	8.99776e-41
Pax7	MA0680.3	94	1.39585	0	0.13448	1	0.24644	1.37677e-40
FIGLA	MA0820.2	443	2.05759	42	0.33873	3	0.11859	1.78697e-40
ZNF157	MA2331.1	157	1.85501	15	0.23462	1	0.20473	3.45087e-40
Nfatc1	MA0624.3	507	1.68006	29	0.25515	3	0.12689	6.07918e-40
ZNF410	MA0752.2	107	2.00721	6	0.18735	1	0.26193	8.93501e-40
SIX2	MA1119.2	145	1.89998	11	0.33614	4	0.17409	3.26118e-39
TFAP4::FLI1	MA1967.2	244	1.74961	16	0.23077	2	0.16789	3.86984e-39
MYBL1	MA0776.1	45	2.18491	4	0.31186	1	0.34273	4.12291e-39
BACH2	MA1101.3	123	2.13381	11	0.32141	1	0.21988	5.86473e-39
Ebf4	MA2122.1	158	1.95808	14	0.29064	2	0.17989	6.52959e-39
Hmx2	MA0897.2	142	1.81286	6	0.24776	1	0.21602	7.07286e-39
BHLHA15	MA0607.2	62	1.1139	1	0.5891	2	-0.37836	8.92608e-39
Arx	MA0874.2	101	1.82152	4	0.17603	0	0.2321	9.90207e-39
NR5A1	MA1540.3	125	2.2254	13	0.29725	2	0.22351	1.60522e-38
SREBF1	MA0595.1	210	2.06877	20	0.34735	4	0.14742	1.93239e-38
IRF6	MA1509.1	39	1.29084	1	0.8125	2	-0.39622	3.57152e-38
ZNF341	MA1655.2	243	1.76054	18	0.28345	3	0.13048	4.26282e-38
ZNF701	MA1987.2	563	1.83944	51	0.35919	8	0.09401	4.51069e-38
ZNF382	MA1594.1	159	1.93051	16	0.30002	2	0.20169	5.18271e-38
ZNF317	MA1593.2	397	1.86845	31	0.33294	4	0.09849	6.6524e-38
Creb3l2	MA0608.1	55	1.64047	3	0.70514	1	-0.27191	1.30584e-37
NR1H2::RXRA	MA0115.1	166	1.97557	12	0.32652	4	0.19188	1.32089e-37
ZNF75A	MA2097.1	335	1.68975	20	0.27084	3	0.13425	5.70387e-37
ELK1::HOXB13	MA1932.2	70	1.33635	2	0.65535	3	-0.29027	9.43534e-37
RBPJ	MA1116.2	425	1.73216	22	0.32483	6	0.10862	1.08006e-36
Pgr	MA2323.1	115	1.75447	7	0.21525	0	0.19921	1.43312e-36
ZNF93	MA1721.2	199	1.80811	15	0.56525	4	-0.13395	3.39783e-36
GMEB2	MA0862.1	31	1.09971	2	0.78713	0	-0.51641	5.1088e-36
RARG	MA1553.2	68	2.30429	7	0.18292	0	0.31693	1.27106e-35
ZBED2	MA1971.2	30	0.88223	0	0.47853	0	-0.44413	1.37468e-35
PLAGL2	MA1548.2	112	2.09024	16	0.38205	3	0.21185	1.39299e-35
IRF4	MA1419.2	76	1.02694	1	0.59297	3	-0.31903	1.6744e-35
Hoxa13	MA0650.4	127	1.50917	6	0.15796	1	0.19007	4.125e-35
Hand1::Tcf3	MA0092.2	130	1.41354	5	0.47769	2	-0.20244	1.78208e-34
ZNF766	MA2098.1	153	1.64404	6	0.1834	0	0.17487	2.47558e-34
TP73	MA0861.2	76	2.05672	7	0.18087	0	0.30527	2.71585e-34
Hic1	MA0739.2	101	1.90484	10	0.1665	0	0.25505	2.98607e-34
TFAP2B	MA0813.1	105	1.87806	11	0.28589	1	0.21121	4.75149e-34
Crx	MA0467.3	282	1.54632	17	0.19205	1	0.1462	5.24827e-34
E2F7	MA0758.1	74	1.25999	0	0.50412	2	-0.23592	6.85705e-34
MEF2D	MA0773.1	93	1.71552	8	0.79429	3	-0.21436	9.99047e-34
RARA::RXRA	MA0159.1	191	2.01489	16	0.29817	2	0.14627	2.07402e-33
NFATC4	MA1525.3	146	1.49058	3	0.2384	2	0.17722	3.98618e-33
HSF1	MA0486.2	71	1.57833	8	0.58965	2	-0.21535	7.29608e-33
RELA	MA0107.1	106	1.46067	5	0.49232	1	-0.20345	1.55604e-32
OVOL1	MA1544.2	34	1.52936	2	0.77082	1	-0.35341	3.60435e-32
ZNF449	MA1656.2	184	2.17372	19	0.3263	0	0.13654	4.48669e-32
DMRTA2	MA1478.2	241	1.67927	8	0.22369	0	0.14099	5.16122e-32
DMRTA1	MA1707.2	89	1.69081	2	0.21379	1	0.22406	5.19778e-32
SNAI3	MA1559.2	156	1.57541	9	0.56202	3	-0.15018	6.05759e-32
GCM2	MA0767.2	99	2.11592	8	0.27199	1	0.19402	9.41783e-32
Prdm14	MA1998.2	88	1.39169	5	0.63911	2	-0.20347	1.09424e-31
HIC2	MA0738.2	252	1.84422	17	0.25245	1	0.14159	1.18062e-31
SCRT2	MA0744.3	140	1.68946	8	0.24073	2	0.16785	1.3667e-31
FOXD3	MA0041.3	310	1.43466	12	0.21549	4	0.11841	1.61172e-31
IRF3	MA1418.2	125	1.01288	5	0.3568	3	-0.19315	3.30755e-31
CTCFL	MA1102.3	210	1.61875	13	0.50334	3	-0.14685	6.10521e-31
ZBTB33	MA0527.2	39	1.75963	5	0.76374	1	-0.32543	7.8186e-31
ZSCAN21	MA2336.1	143	1.9295	13	0.26714	2	0.16894	1.01136e-30
HOXC10	MA0905.2	123	1.66544	7	0.19849	0	0.1642	1.02425e-30
NR6A1	MA1541.2	78	2.05818	9	0.30236	2	0.17946	1.03171e-30
ZNF582	MA1983.2	181	1.72352	14	0.22419	2	0.14507	1.16884e-30
Gmeb1	MA0615.2	26	1.22519	1	0.67045	0	-0.44152	1.19024e-30
