Gene_ID	RPM_R1_TP1	RPM_R1_TP2	RPM_R1_TP3	RPM_R1_TP4	RPM_R1_TP5	RPM_R1_TP6	RPM_R1_TP7	RPM_R1_TP8	RPM_R1_TP9	RPM_R2_TP1	RPM_R2_TP2	RPM_R2_TP3	RPM_R2_TP4	RPM_R2_TP5	RPM_R2_TP6	RPM_R2_TP7	RPM_R2_TP8	RPM_R2_TP9	classification	sub_classification
si:dkey-182i3.8	19.6784541	25.0189727	35.3599838	34.1144046	22.5264704	18.0979662	11.5591659	16.6708919	5.54699469	34.3257995	11.9919649	16.6370511	24.3017565	23.1681067	26.2236428	17.2803544	9.95434539	8.94734773	MZ	MZ_decreasing
si:dkey-188i13.7	31.6260869	46.7020824	43.890889	42.1715756	23.7935843	8.11288138	9.05988679	14.6588877	4.06779611	27.7824439	20.5899775	31.5359028	28.6220688	11.0494047	25.1459588	19.7489764	11.9452145	7.98870333	MZ	MZ_decreasing
si:dkey-190g6.2	16.8672463	13.3434521	16.0727199	23.1429378	9.71454034	12.481356	8.7474769	17.8206086	5.91679434	34.8621401	25.7940378	26.8179331	11.8808587	16.7523233	23.1702049	14.8117323	17.5196479	11.8232809	MZ	MZ_decreasing
si:dkey-1b17.9	13.3532367	20.0151782	16.4436288	21.4286461	14.6422057	15.601695	12.8088055	20.1200419	13.6825869	27.1388352	18.7798696	26.3213047	28.0820298	21.7423771	28.5586247	20.8069573	14.3342574	15.9774067	MZ	MZ_decreasing
si:dkey-206d17.5	145.48	160.677403	163.323562	151.543385	189.785513	101.723051	105.906952	120.720252	51.4021508	133.012473	170.602671	120.432385	153.911125	111.563345	159.137997	184.793993	135.379097	76.0524557	MZ	MZ_decreasing
si:dkey-208k4.2	63.2521738	78.9487584	87.1635964	96.8574805	55.7530141	46.1810171	39.363646	44.2640922	24.036977	108.233536	64.4850944	77.2257146	76.6855428	50.6134024	84.59819	59.9522498	42.2064245	34.5111984	MZ	MZ_decreasing
si:dkey-21c1.4	16.1644444	24.4629955	23.9854436	23.4857962	18.584338	9.36101698	10.9343461	16.3834627	0.73959929	19.9518709	14.4808633	11.1741388	11.8808587	8.19794545	17.6021712	17.2803544	14.3342574	3.51502947	MZ	MZ_decreasing
si:dkey-229b18.3	25.3008695	25.5749499	39.069073	31.3715379	14.9237866	9.98508478	19.9942329	19.8326127	3.32819682	31.6440964	15.3859173	24.8314195	17.8212881	11.7622696	32.3305185	19.7489764	25.4831242	9.90599213	MZ	MZ_decreasing
si:dkey-229d11.5	134.235169	111.751411	106.698133	134.571898	70.9583816	72.3918647	56.8585998	92.839622	35.8705657	114.991428	131.685351	73.9976301	81.0058551	69.1478877	95.1954155	66.6527954	92.3763252	78.6088408	MZ	MZ_decreasing
si:dkey-230p4.1	59.7381641	22.795064	27.6945328	35.8286963	27.7357166	57.4142375	36.8643669	22.7069045	34.7611667	28.1042483	33.9395234	63.8167481	25.9218736	49.1876727	33.9470444	17.6330146	20.3068646	15.9774067	MZ	MZ_decreasing
si:dkey-23f9.4	35.1400965	52.8178313	55.0181566	57.6002008	38.9989518	26.8349153	32.4906285	33.6292129	15.9013848	58.0320547	49.3254407	52.1459809	34.0224591	21.0295122	49.2142337	32.0920867	30.26121	21.4097249	MZ	MZ_decreasing
si:dkey-243i1.1	43.5737197	51.705877	52.9163394	51.0858924	33.0857533	16.2257628	16.2453142	27.8806295	6.28659399	40.9764231	24.6627203	30.2943318	34.5624982	16.7523233	44.7238839	27.5075028	25.0849504	16.6165029	MZ	MZ_decreasing
si:dkey-253d23.5	4.91961352	3.8918402	6.42908796	4.11430006	2.1118566	0.6240678	1.24963956	2.01200419	1.84899823	4.39799306	2.94142536	4.7179697	3.78027324	4.27718893	5.20880576	4.58458381	3.98173816	1.9172888	MZ	MZ_decreasing
si:dkey-256e7.8	32.3288888	28.3548358	31.6508946	39.2572797	26.1870218	19.9701696	18.4321835	14.9463169	8.50539186	45.0526118	22.6263489	35.7572441	22.1416004	28.1581605	45.4423399	25.0388808	17.9178217	15.0187623	MZ	MZ_decreasing
si:dkey-261j15.2	25.3008695	33.3586303	37.8327099	37.3715588	26.4686027	16.2257628	19.0570032	26.1560545	10.3543901	31.0004876	19.4586601	25.8246763	25.9218736	27.4452956	36.2820263	25.0388808	16.3251264	12.7819253	MZ	MZ_decreasing
si:dkey-27c15.3	15.4616425	12.7874749	11.7454492	22.6286503	8.86979771	14.3535594	5.9357879	5.74858341	6.28659399	10.1904717	6.10911421	21.1067066	9.18066358	13.5444316	12.5729794	5.64256469	6.76895487	7.03005893	MZ	MZ_decreasing
si:dkey-30c15.10	71.6857969	88.4003703	90.8726856	79.2002761	71.2399625	25.5867797	26.8672505	32.4794962	5.91679434	64.0390696	35.2971043	56.6156364	68.0449183	45.2669162	77.9524723	51.8410631	35.4374696	26.8420432	MZ	MZ_decreasing
si:dkey-30h22.11	10.542029	8.89563475	5.93454274	5.31430424	4.64608451	4.36847459	1.56204945	2.29943336	0.73959929	12.9794429	10.4081205	8.69099682	4.86035131	6.4157834	8.6214716	5.64256469	3.58356434	1.9172888	MZ	MZ_decreasing
si:dkey-31c13.1	16.8672463	20.5711553	26.0872608	27.0858087	18.3027572	13.1054238	12.4963956	14.0840293	7.76579257	28.7478571	26.4728282	27.5628756	31.862303	23.1681067	23.8886609	20.454297	20.7050384	21.0901768	MZ	MZ_decreasing
si:dkey-38p12.3	49.1961352	65.0493291	51.9272489	54.0001882	64.7636023	24.3386442	36.8643669	45.7012381	20.7087802	47.9488511	61.7699326	39.481957	47.523435	33.5046466	44.1850419	48.6671204	48.5772055	35.7893909	MZ	MZ_decreasing
si:dkey-44g23.5	55.5213525	93.4041648	79.745418	67.0288051	81.7992455	34.9477967	29.9913494	33.0543546	14.7919858	70.1533527	88.9215513	62.0785487	71.8251915	53.4648616	45.2627259	40.2032734	26.2794718	15.0187623	MZ	MZ_decreasing
si:dkey-46a10.3	40.0597101	80.0607127	74.6763294	74.2288302	83.9111021	14.9776272	22.8059219	30.1800629	7.02619328	71.8696426	32.5819425	37.9920718	61.5644499	29.9403225	70.5882987	66.6527954	29.8630362	15.6578585	MZ	MZ_decreasing
si:dkey-52l18.4	36.5457004	39.4743792	43.3963438	46.628734	37.0278857	19.9701696	14.3708549	8.62287511	2.58859752	32.5022414	30.5455711	35.0123015	30.7822249	32.078917	25.1459588	16.2223735	11.9452145	3.51502947	MZ	MZ_decreasing
si:dkey-56e3.3	14.7588405	35.582539	50.0727043	48.8573132	30.2699445	10.6091526	16.870134	28.742917	7.76579257	31.2150239	7.69295863	19.3685072	27.5419907	10.6929723	32.5101325	25.7442014	25.4831242	23.0074656	MZ	MZ_decreasing
si:dkey-57a22.11	174.294879	96.1840507	120.792672	142.28621	131.498271	103.595255	58.4206493	50.8749631	21.4483795	136.230517	169.24509	156.686257	129.069329	104.078264	92.1419777	67.0054557	48.5772055	35.7893909	MZ	MZ_decreasing
si:dkey-73n10.1	153.913623	210.159371	221.679898	162.343423	210.904079	65.5271189	55.9213702	75.3064426	15.9013848	144.59743	141.188417	110.499817	158.231437	77.7022656	112.258745	163.987036	82.8201536	31.9548133	MZ	MZ_decreasing
si:dkey-77f5.15	35.8428985	78.3927812	75.4181473	84.6860095	108.267848	48.6772883	48.7359427	72.1447217	36.610165	61.2500984	31.6768885	51.1527242	84.2460893	50.2569699	71.6659826	84.9911306	60.52242	44.0976424	MZ	MZ_decreasing
si:dkey-77f5.4	0.70280193	3.8918402	5.43999751	3.94287089	5.35003671	9.36101698	3.43650878	4.59886672	2.21879788	5.25613804	4.07274281	6.70448326	8.10058551	8.91081027	7.54378765	5.28990439	6.37078105	4.15412573	MZ	MZ_decreasing
si:dkey-78l4.14	7.73082124	14.4554065	16.8145378	15.0857669	12.81193	1.2481356	2.18686922	3.73657921	2.58859752	9.54686298	2.48889838	10.180882	15.661132	9.26724269	12.5729794	5.99522498	5.1762596	4.47367387	MZ	MZ_decreasing
si:dkey-7n6.2	4.91961352	4.44781737	6.92363319	6.68573759	4.08292275	1.8722034	3.74891867	2.58686253	3.32819682	11.1558848	9.50306655	10.180882	4.86035131	3.56432411	8.26224361	8.11118674	2.38904289	4.793222	MZ	MZ_decreasing
si:dkey-81e3.2	40.762512	40.5863335	34.8654386	26.5715212	23.7935843	18.0979662	18.7445934	37.6532213	15.9013848	17.377436	85.075072	17.6303078	19.4414052	12.8315668	17.2429432	23.2755793	44.9936412	20.7706287	MZ	MZ_decreasing
si:dkey-86e18.1	9.83922703	10.0075891	11.3745402	14.9143377	10.9816543	6.86474579	6.87301756	12.6468835	4.06779611	10.0832036	6.3353777	7.94605424	14.0410149	5.70291858	15.0875753	8.11118674	9.95434539	6.07141453	MZ	MZ_decreasing
si:dkey-87o1.2	37.2485023	46.1461052	51.9272489	45.9430173	35.0568195	19.9701696	20.3066428	29.3177754	5.54699469	34.3257995	19.9111871	32.0325311	30.7822249	27.8017281	36.6412543	31.0341058	31.8539052	24.9247544	MZ	MZ_decreasing
si:dkey-90l23.1	32.3288888	28.3548358	48.5890686	57.9430591	32.9449629	44.3088137	44.0497944	25.293767	18.1201827	56.3157647	32.5819425	56.6156364	35.6425762	48.8312403	45.0831119	30.3287852	42.6045983	36.1089391	MZ	MZ_decreasing
si:dkey-97o5.1	47.0877294	49.4819683	51.6799763	52.9716132	42.6595032	32.4515255	35.9271373	38.5155088	12.573188	54.1704023	71.0467356	50.90441	48.6035131	38.4947004	68.2533168	49.372441	46.1881626	38.0262279	MZ	MZ_decreasing
si:dkeyp-117h8.4	143.371594	108.971526	110.407222	114.514685	61.5254222	18.722034	27.1796604	29.3177754	10.7241897	117.244059	68.7841007	85.9167114	63.724606	43.4847541	67.3552468	36.3240102	37.0301649	32.2743615	MZ	MZ_decreasing
si:dkeyp-118b1.2	20.381256	17.2352923	16.8145378	15.7714835	17.7395954	9.98508478	9.05988679	11.2097376	11.0939894	24.2425959	14.4808633	14.6505375	24.3017565	14.2572964	22.092521	18.3383352	7.96347631	14.6992141	MZ	MZ_decreasing
si:dkeyp-120h9.1	44.9793236	50.0379454	53.5345209	43.8858673	68.1425728	20.5942374	17.4949538	31.0423504	8.87519151	31.1077558	44.5739074	17.1336795	35.1025372	19.2473502	22.092521	29.6234646	23.0940813	13.4210216	MZ	MZ_decreasing
si:dkeyp-121d2.7	9.1364251	8.89563475	15.0836295	13.5429043	8.86979771	7.48881358	6.87301756	4.59886672	2.58859752	11.4776892	9.72933004	9.9325678	9.72070261	8.19794545	11.6749095	8.81650732	4.37991197	5.43231827	MZ	MZ_decreasing
si:dkeyp-13a3.10	7.02801931	7.7836804	11.6218129	13.200046	4.92766539	1.8722034	2.18686922	2.01200419	1.47919858	6.75789177	3.16768885	4.7179697	4.86035131	3.56432411	2.87382387	2.11596176	3.98173816	1.27819253	MZ	MZ_decreasing
si:dkeyp-20e4.8	30.923285	34.4705846	21.6363537	30.5143921	31.9594298	19.3461018	28.4292999	33.9166421	22.1879788	39.0455969	108.832738	31.784217	58.8642547	27.0888632	45.2627259	48.6671204	60.9205938	32.9134577	MZ	MZ_decreasing
si:dkeyp-26a9.2	23.1924637	30.5787444	43.0254348	42.1715756	22.9488417	11.8572882	16.5577241	14.6588877	4.43759575	45.0526118	21.0425045	29.7977034	32.402342	14.9701613	53.7045835	30.6814455	22.2977337	23.96611	MZ	MZ_decreasing
si:dkeyp-2e4.6	2.81120772	3.8918402	4.57454336	4.45715839	6.05398891	2.49627119	2.49927911	3.16172087	1.84899823	2.89623933	3.62021583	3.22808453	3.2402342	7.12864822	4.84957777	4.9372441	0.79634763	2.23683693	MZ	MZ_decreasing
si:dkeyp-46h3.3	3.51400965	10.0075891	5.56363381	9.77146263	5.77240803	8.11288138	5.31096812	4.59886672	1.10939894	3.43257995	2.94142536	6.20785487	8.10058551	3.92075652	5.20880576	4.9372441	3.98173816	2.55638507	MZ	MZ_decreasing
si:dkeyp-46h3.8	56.9269564	130.098658	174.203557	204.000711	229.769998	94.8583054	123.401906	142.277439	77.6579257	128.292675	19.9111871	134.089665	162.01171	116.909831	141.895053	151.996586	111.488668	96.8230844	MZ	MZ_decreasing
si:dkeyp-53d3.3	17.5700483	25.5749499	29.4254411	30.6858212	30.8331063	43.0606781	33.4278582	23.569192	16.2711844	23.9207915	23.5314029	27.0662472	28.0820298	22.4552419	29.0974666	22.2175985	20.7050384	12.7819253	MZ	MZ_decreasing
si:dkeyp-55f12.3	2.10840579	5.00379454	5.93454274	8.22860011	5.77240803	1.8722034	5.62337801	6.61087092	1.84899823	7.29423239	0.90505396	4.46965551	7.56054648	10.6929723	7.72340164	7.75852644	4.77808579	6.39096267	MZ	MZ_decreasing
si:dkeyp-75h12.5	28.1120772	13.8994293	20.152718	24.1715128	20.4146138	11.2332204	17.1825439	14.9463169	8.50539186	34.754872	25.1152473	39.481957	22.1416004	26.019566	38.9762362	22.2175985	28.2703409	23.6465619	MZ	MZ_decreasing
si:dkeyp-82a1.6	26.0036714	62.8254204	65.7745153	43.3715798	55.4714333	15.601695	17.1825439	31.9046379	4.43759575	32.180437	13.3495459	23.3415343	51.8437473	17.8216205	47.2384798	44.4351969	21.1032122	12.7819253	MZ	MZ_decreasing
si:dkeyp-98a7.3	45.6821255	98.9639365	115.105402	98.5717722	150.927351	78.6325426	96.2222459	82.2047427	38.0893636	100.081159	41.179955	108.513303	208.455067	142.216532	202.96381	178.093448	107.108756	69.3419449	MZ	MZ_decreasing
si:dkeyp-98a7.9	69.5773911	150.669813	167.032651	185.486361	190.630255	69.8955935	94.9726063	95.4264845	41.4175604	99.4375503	33.9395234	108.761617	147.430656	101.226805	140.817369	137.890175	86.403718	92.3494105	MZ	MZ_decreasing
si:zfos-169g10.3	10.542029	12.7874749	15.4545384	16.2857711	17.0356432	18.722034	22.8059219	14.0840293	11.8335887	11.1558848	14.4808633	11.6707672	22.6816394	14.6137288	18.3206271	9.8744882	12.3433883	9.586444	MZ	MZ_decreasing
si:zfos-80g12.1	175.700483	132.322567	136.865392	145.200506	112.773142	74.8881358	73.1039141	80.1927385	29.5839717	141.057582	150.46522	153.954801	128.52929	89.1081027	137.763932	116.377897	84.4128489	60.3945972	MZ	MZ_decreasing
si:zfos-943e10.1	482.824926	474.804505	578.370644	566.059116	487.979664	290.191526	218.999332	168.146065	123.143282	575.064409	491.444299	508.547471	560.020478	518.96559	432.86972	223.586626	154.49144	186.935658	MZ	MZ_decreasing
siah1	90.6614491	101.743822	90.0072315	79.3717052	60.2583082	16.2257628	24.6803813	20.4074711	9.6147908	97.1849197	121.050967	60.5886636	70.7451135	41.3461597	41.1316041	30.3287852	27.8721671	26.2029469	MZ	MZ_decreasing
sinhcaf	10.542029	12.7874749	10.1381772	11.6571835	9.43295946	5.61661019	10.3095263	8.62287511	0	10.2977398	10.8606475	15.8921085	7.02050744	17.1087557	12.2137514	9.52182791	11.1488668	5.43231827	MZ	MZ_decreasing
sirt1	62.5493718	101.743822	99.6508634	101.828926	115.025789	85.4972884	77.4776525	75.3064426	54.360548	97.7212603	108.380211	101.80882	71.8251915	88.7516703	83.8797341	85.3437909	66.893201	78.2892927	MZ	MZ_decreasing
siva1	1431.60753	783.371835	809.817811	1214.40423	1051.00063	1084.00577	1327.42962	582.04407	559.137065	1314.89266	3649.40382	1767.50044	1052.53608	1866.63654	1114.14559	918.680063	994.240018	683.833005	MZ	MZ_decreasing
six6b	5.62241545	2.22390869	4.20363444	4.9714459	3.09738967	6.24067799	5.62337801	2.58686253	1.84899823	5.68521054	7.69295863	4.9662839	4.32031227	1.78216205	3.05343786	2.46862205	3.18539052	2.23683693	MZ	MZ_decreasing
ska1	115.962319	143.44211	155.534474	150.51481	124.036377	96.106441	105.282133	89.9653303	46.2249558	143.953822	124.444919	131.606523	148.510734	137.582911	143.691193	124.136423	107.905104	69.9810412	MZ	MZ_decreasing
slain2	80.822222	75.0569182	92.7272302	97.371768	80.3913411	68.6474579	68.4177658	64.3841341	25.8859752	92.6796586	63.353777	119.687442	75.6054648	80.9101573	92.8604336	67.7107762	50.9662484	41.2217092	MZ	MZ_decreasing
slbp	227.707826	340.814006	372.26892	357.944105	168.244576	59.9105087	104.657313	138.253431	61.3867413	386.808853	163.814766	160.907598	183.613272	87.3259407	296.363086	194.668482	202.272298	228.157367	MZ	MZ_decreasing
slc10a3	105.42029	85.0645073	81.35269	110.400385	145.436524	113.580339	132.461793	78.1807343	83.2049204	87.6380568	90.9579227	86.9099682	59.9443328	87.3259407	34.8451144	65.2421542	73.2639821	75.4133595	MZ	MZ_decreasing
