Ensembl_Gene_ID	FPKM_(+)4SUTP_512cell_rep1	FPKM_(+)4SUTP_256cell_rep1	FPKM_(+)4SUTP_128cell_rep1	FPKM_(+)4SUTP_512cell_rep2	FPKM_(+)4SUTP_256cell_rep2	FPKM_(+)4SUTP_128cell_rep2	FPKM_(-)4SUTP_128cell	FPKM_(-)4SUTP_256cell	FPKM_(-)4SUTP_512cell
ENSDARG00000057830	4.19712	2.90382	1.88032	1.20539	1.08004	1.52315	1.17709	0.518362	0.420643
ENSDARG00000057841	1.29322	1.92725	1.35512	0.967042	1.56345	1.94748	2.01806	0.744136	0.676575
ENSDARG00000057853	17.1959	18.9761	16.495	13.9457	16.2276	19.095	31.2584	19.7142	9.92617
ENSDARG00000057854	18.5755	10.7763	8.73786	8.79404	5.74119	6.33179	4.66559	2.71044	2.69699
ENSDARG00000057855	1.63714	0.755965	1.29626	0.859266	0.415374	0.664216	0.77032	0.386721	0.0752347
ENSDARG00000057857	16.9368	11.7758	6.93153	10.9842	8.11435	6.1667	4.20427	3.53861	3.24495
ENSDARG00000057863	6.97596	4.44084	3.55503	1.53456	2.43041	1.1573	2.20498	0.801248	0.804613
ENSDARG00000057867	2.979	3.29262	3.78665	2.19224	3.57053	5.4624	10.975	6.49536	2.21037
ENSDARG00000057890	59.8298	54.4271	61.0656	16.1993	15.7683	17.2799	29.9887	9.83988	5.30754
ENSDARG00000057907	5.64823	5.49445	4.22187	5.65134	5.785	5.16038	5.70784	4.02282	3.46505
ENSDARG00000057910	5.32624	4.26091	3.0524	1.60548	1.52219	1.03897	2.01846	1.45751	0.774329
ENSDARG00000057912	13.111	12.7482	8.75291	4.55461	4.7395	2.71474	7.08175	3.40807	1.20065
ENSDARG00000057913	0.380242	0.894099	0.708067	0.517345	0.324325	0.618888	0.793813	0.337852	0.166602
ENSDARG00000057918	6.35825	9.52259	5.88968	2.98732	4.13982	4.41909	8.47446	5.69339	4.49616
ENSDARG00000057927	2.1413	2.71527	1.64223	0.96957	1.55746	1.63124	3.19177	1.75541	1.55721
ENSDARG00000057928	0.715736	2.46448	1.16967	0.444957	0.430561	1.55997	0.949391	0.622121	0.253748
ENSDARG00000057929	1.58448	1.93437	1.57335	0.488532	0.570141	0.984254	2.08191	0.865357	0.467922
ENSDARG00000057939	7.66011	11.6006	8.19093	3.81904	3.60702	3.85926	11.0472	6.4937	3.71123
ENSDARG00000057940	26.6404	30.1851	22.1406	10.3137	12.1679	12.2653	19.9522	11.3685	5.84103
ENSDARG00000057973	0.644145	1.23816	0.70496	1.98066	1.59686	2.56287	2.38969	1.15755	0.680689
ENSDARG00000057983	1.52886	1.05036	2.1242	0.793533	1.02032	1.71877	2.22028	1.09689	0.511316
ENSDARG00000057987	2.69817	4.31064	4.17042	2.14062	2.16443	3.04157	3.76773	1.57611	0.958091
ENSDARG00000057995	1.78123	1.25543	1.69655	0.597773	0.519597	0.9986	1.31925	0.251045	0.161248
ENSDARG00000057997	3.40377	4.82384	4.28553	1.91074	2.28518	1.83943	3.33993	1.54793	0.956227
ENSDARG00000058000	16.7366	19.9742	14.7926	6.46054	7.942	7.76248	13.9141	9.02298	6.11008
ENSDARG00000058015	0.449105	0.67809	0.350366	0	0.214925	0.215786	0.808272	0.0965327	0
ENSDARG00000058020	2.32679	2.48335	1.50637	1.20131	0.604438	1.03965	1.73708	2.87755	0.245961
ENSDARG00000058028	14.2226	17.1936	15.2162	2.90253	4.06412	3.60268	8.47211	5.10681	3.38684
ENSDARG00000058030	6.10287	5.64948	5.46015	1.70767	2.14718	1.92364	3.8345	2.22795	1.12311
ENSDARG00000058038	0.181755	0.280834	0.384516	0.25931	0.230294	0.300887	0.49368	0.127851	0.132437
ENSDARG00000058041	4.80232	2.68305	1.39954	1.33879	1.25822	0.568425	2.46926	0.376865	1.26664
ENSDARG00000058044	6.68296	8.90252	7.04249	3.3615	4.54459	5.61673	21.0209	9.01297	5.82614
ENSDARG00000058076	2.14947	2.33764	1.11745	1.48085	1.40323	1.51363	0.753127	0.302428	0.275143
ENSDARG00000058088	2.82443	5.02939	2.49854	2.31593	3.16121	2.71234	3.38415	1.73286	1.55982
ENSDARG00000058089	6.92172	8.40841	5.73574	3.40786	4.4663	4.28587	7.91786	5.90795	3.60461
ENSDARG00000058094	6.32728	6.83441	5.64957	2.75745	3.19251	4.22388	4.26913	2.11224	0.820107
ENSDARG00000058102	0.599276	0.632699	1.37234	0.645458	0.824826	0.786059	1.12115	1.09731	0.644481
ENSDARG00000058105	12.468	14.1315	16.0905	3.62165	2.17965	2.35212	3.73808	1.63352	0.454477
ENSDARG00000058122	3.42996	2.93703	4.06758	1.42914	1.60484	1.79034	1.41621	0.972659	0.879137
ENSDARG00000058127	1.39366	1.45655	1.40436	0.588704	0.583233	1.11513	0.917522	0.71921	0.429226
ENSDARG00000058128	4.4988	6.09952	4.51554	2.44915	3.33277	3.09684	6.25463	2.11437	1.35741
ENSDARG00000058148	7.69909	13.7941	6.7253	2.83069	3.91908	3.57671	7.27042	5.18049	2.76572
ENSDARG00000058154	2.07154	1.08251	2.2214	0.713431	0.337719	0.796845	1.7005	1.03969	0.88934
ENSDARG00000058159	1.06338	1.20069	1.43394	0.854829	0.880605	1.31078	1.20346	0.792494	0.436977
ENSDARG00000058162	1.00317	1.80479	1.68612	0.16902	1.29204	0.726865	1.73474	0.52717	0.249746
ENSDARG00000058178	2.73019	4.53711	4.23698	1.68809	2.05381	1.43432	8.11563	3.64062	1.40991
ENSDARG00000058179	27.4403	1.58131	0	4.53703	0.218953	0.0551325	0.0498172	0	0.0398247
ENSDARG00000058180	0.952796	0.782451	0.812358	0.181248	0.130874	0.378353	0.693237	0.14048	0.0258564
ENSDARG00000058202	2.25501	2.54418	1.1539	1.10203	1.288	0.745774	1.42906	1.18997	1.19564
ENSDARG00000058203	26.3781	28.012	23.1126	6.828	7.60602	9.06052	9.61569	4.36494	2.56458
ENSDARG00000058207	3.74541	2.86402	3.0864	2.03245	2.32471	3.52522	5.44741	3.39069	2.23669
ENSDARG00000058212	9.4006	10.2195	2.53993	2.88844	3.08183	2.81533	3.23182	1.89314	0.481237
ENSDARG00000058220	0.507074	0.523645	0.710882	0.192558	0.146568	0.18939	0.486357	0.087844	0.131924
ENSDARG00000058221	4.94888	6.35597	4.64429	3.31116	4.62079	5.41328	4.92538	2.30347	2.16941
ENSDARG00000058230	19.1841	40.8285	26.5582	9.47432	8.18722	8.948	23.2476	7.80844	5.20079
ENSDARG00000058232	0.869573	0.857713	0.943115	0.0857048	0.217457	0.311895	0.541234	0.2466	0.146786
ENSDARG00000058237	1.0894	4.56576	2.22866	1.69178	2.30761	2.10726	3.32354	3.38691	1.84962
ENSDARG00000058257	0.445536	1.09106	1.11545	0.260573	0.624435	0.650021	0.823344	0.47158	0.166233
ENSDARG00000058260	0.980149	1.26755	1.31304	0.382264	0.820547	0.683715	1.64548	0.653632	0.481865
ENSDARG00000058267	0.531409	0.321866	1.25618	0.325942	0.300755	0.264193	0.565893	0.161859	0.176224
ENSDARG00000058284	0.20728	0.0951066	0.140271	0.037015	0.106942	0.161498	0.347712	0.12011	0.0132329
ENSDARG00000058292	2.51011	2.12664	1.55849	1.0289	1.39237	2.27278	0.836254	0.323907	0.543854
ENSDARG00000058297	1.72099	1.08621	2.16952	0.674505	0.727025	1.37737	1.18168	0.785619	0.320059
ENSDARG00000058305	0.770408	1.35805	0.749669	0.290871	0.308074	0.495987	0.586813	0.419011	0.272932
ENSDARG00000058306	1.40252	0.475508	1.3705	1.1326	0.75662	0.327496	0.972617	0.787805	0.0464433
ENSDARG00000058323	5.04425	3.95891	5.73714	1.65523	1.91428	2.02068	4.81305	2.05269	1.2844
ENSDARG00000058325	1.00069	0.902717	0.572147	0.556956	0.159716	0.862077	0.483175	0.257016	0.11538
ENSDARG00000058328	2.87473	3.97574	2.68861	0.802861	1.55515	1.4909	0.64176	0.380943	0
ENSDARG00000058337	30.3688	29.6883	24.0642	11.46	10.976	14.6531	9.13921	4.62309	2.19833
ENSDARG00000058346	3.57992	4.10108	3.00698	1.14156	1.91883	2.31702	4.27564	1.77252	1.07674
ENSDARG00000058352	1.04595	1.59884	0.646128	0.365021	0.392011	0.786921	0.200015	0.690645	0.650982
ENSDARG00000058354	3.62995	1.52142	2.27397	2.12246	1.28647	2.42015	4.35031	2.78865	0.922648
ENSDARG00000058356	2.18177	3.82738	3.26482	0.7578	1.82877	1.15409	2.30549	3.43804	0.103842
ENSDARG00000058366	1.72553	1.95311	1.95824	0.607162	0.75173	0.73637	0.315064	0.331579	0.22506
ENSDARG00000058367	1.92386	1.74846	1.18321	0.813074	0.44769	0.736633	2.41058	0.603437	0.413707
ENSDARG00000058369	7.65997	0.445858	0.171182	2.34421	0.186456	0.0621572	0.208438	0.0648406	0
ENSDARG00000058372	5.42704	4.20526	5.89511	3.13066	2.81799	4.4787	12.9348	2.81916	3.6112
ENSDARG00000058419	0.630321	1.54465	1.33611	0.752736	1.05868	1.13488	1.51206	1.78701	1.65431
ENSDARG00000058425	6.16986	4.88521	4.73038	2.40375	2.57193	4.44672	7.24231	3.79071	1.12567
ENSDARG00000058430	3.69275	6.34245	3.63104	2.01539	1.78586	1.84106	3.02591	1.0504	0.779733
ENSDARG00000058444	60.4438	60.8568	48.938	12.4066	11.5408	16.2544	25.3958	12.6273	6.39406
ENSDARG00000058448	4.16042	3.73154	4.33797	1.06089	0.79588	1.28284	2.17006	0.676323	0.337948
ENSDARG00000058451	11.1204	13.8018	18.2111	3.93923	4.01876	4.12676	13.385	11.3769	5.06153
ENSDARG00000058452	8.7193	10.8398	9.07791	4.99579	4.88692	6.50915	11.4764	6.38658	3.82264
ENSDARG00000058454	26.5331	10.1455	5.18932	4.45852	2.3015	1.75869	1.09262	1.35078	0.316316
ENSDARG00000058461	1.35307	1.47413	1.67197	0.762759	0.900044	1.59952	1.13844	0.620826	0.280951
ENSDARG00000058463	3.41538	0.959261	2.71109	0.959939	0.320853	1.63613	1.82431	0.262374	0.507821
ENSDARG00000058467	7.14827	8.2573	6.59692	4.72856	4.23121	4.70458	7.08386	4.65469	2.39715
ENSDARG00000058471	127.354	139.368	149.531	82.277	72.9828	134.216	197.35	91.0642	70.6512
ENSDARG00000058479	7.12094	1.24411	0.695963	2.71152	0.180586	0.266709	0.673921	0.505472	0.539115
ENSDARG00000058480	3.18851	4.32473	3.62553	2.33803	2.69436	2.31284	4.54835	1.61005	1.11673
ENSDARG00000058494	2.25104	2.4394	1.66414	1.44638	1.73454	1.74932	2.13122	1.45128	0.976237
ENSDARG00000058504	2.18346	2.5346	2.02264	1.51667	1.19865	1.95136	2.1037	1.45206	0.817207
ENSDARG00000058507	1.99369	1.07817	0.623213	1.1919	0.874054	0.531072	1.00064	0.991137	0.270599
