Ensembl Gene ID,Gene name,FPKM 512-cell,FPKM 256-cell, FPKM 128-cell,fold-change,lfc_512_128,lfc_256_128,512_4fold,256_4fold,256_2fold
ENSDARG00000077777,TMSB10 (2 of 3),15.38,6.75,2.55,2.21,2.21,1.13,1,0,1
ENSDARG00000057085,bhik,15.34,1.08,0,4.03,4.03,1.06,1,0,1
ENSDARG00000061923,amotl2a,15.29,3.92,1.9,2.49,2.49,0.76,1,0,0
ENSDARG00000016200,trib3,15.22,4.66,2.17,2.35,2.36,0.84,1,0,0
ENSDARG00000036174,rpl14,14.81,5.3,1.53,2.64,2.64,1.32,1,0,1
ENSDARG00000038141,atf4b2,14.81,2.43,0.11,3.83,3.83,1.63,1,0,1
ENSDARG00000089814,zgc:173703,14.49,2.52,0.04,3.89,3.90,1.76,1,0,1
ENSDARG00000074636,,14.41,7.06,2.8,2.02,2.02,1.08,1,0,1
ENSDARG00000086591,zgc:114037,14.35,4.68,2.18,2.27,2.27,0.84,1,0,0
ENSDARG00000095554,BX571813.7,14.31,2.86,0.07,3.84,3.84,1.85,1,0,1
ENSDARG00000090141,BX004879.1,14.27,3.28,0.09,3.81,3.81,1.97,1,0,1
ENSDARG00000093994,BX855590.3,14.24,1.95,0.05,3.87,3.86,1.49,1,0,1
ENSDARG00000079173,COPS6,14.2,4.58,0.96,2.96,2.96,1.51,1,0,1
ENSDARG00000016253,,14.17,2.79,0.03,3.88,3.88,1.88,1,0,1
ENSDARG00000021059,alas1,14.15,5.19,2.57,2.08,2.09,0.79,1,0,0
ENSDARG00000076400,BX088547.1,14.09,2.16,0.09,3.79,3.79,1.54,1,0,1
ENSDARG00000059246,hnrnpd,13.95,5.23,2.09,2.27,2.27,1.01,1,0,1
ENSDARG00000086296,BX649307.1,13.91,2.1,0.01,3.88,3.88,1.62,1,0,1
ENSDARG00000027744,gadd45ba,13.67,3.34,0.13,3.7,3.70,1.94,1,0,1
ENSDARG00000077456,zgc:110216,13.63,2.69,0.9,2.95,2.94,0.96,1,0,0
ENSDARG00000086791,BX324212.1,13.55,1.87,0.03,3.82,3.82,1.48,1,0,1
ENSDARG00000030440,C13H1orf63,13.51,4.16,1.12,2.78,2.77,1.28,1,0,1
ENSDARG00000077726,ccrn4la,13.51,5.23,0.44,3.33,3.33,2.11,1,1,1
ENSDARG00000026561,dnajc17,13.43,5.91,2.04,2.25,2.25,1.18,1,0,1
ENSDARG00000017917,her7,13.35,5.31,0.79,3,3.00,1.82,1,0,1
ENSDARG00000023003,ccdc12,13.35,5.78,2.23,2.15,2.15,1.07,1,0,1
ENSDARG00000001169,hsd17b8,13.25,3.34,0.58,3.18,3.17,1.46,1,0,1
ENSDARG00000069135,PPP1R15A,13.24,2.6,0.46,3.29,3.29,1.30,1,0,1
ENSDARG00000015611,rasl11b,13.17,4.81,0.25,3.5,3.50,2.22,1,1,1
ENSDARG00000036888,C25HXorf38 (1 of 2),13.11,8.3,0.93,2.87,2.87,2.27,1,1,1
ENSDARG00000076160,AL845295.1,13,3.85,0.03,3.77,3.76,2.24,1,1,1
ENSDARG00000092080,CABZ01015530.1,12.89,1.56,0.02,3.76,3.77,1.33,1,0,1
ENSDARG00000089787,CREBZF,12.85,2.99,0.22,3.51,3.50,1.71,1,0,1
ENSDARG00000013478,rrp15,12.83,5.26,1.02,2.77,2.78,1.63,1,0,1
ENSDARG00000093756,zgc:112234,12.82,3.59,2.01,2.2,2.20,0.61,1,0,0
ENSDARG00000093864,wee1,12.79,2.61,0.6,3.11,3.11,1.17,1,0,1
ENSDARG00000087472,zgc:154164,12.78,5.17,0.63,3.08,3.08,1.92,1,0,1
