PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66
dome_k4me2_up_2	0.102	-0.211	-0.064	0.214	0.066	-0.058	0.136	-0.105	0.022	0.023	-0.014	-0.001	-0.019	-0.071	-0.008	-0.21	-0.162	0.001	0.248	0.246	-0.114	-0.013	0.045	-0.03	0.026	0.036	0.09	0.194	0.02	-0.081	0.001	0.149	0.046	-0.083	-0.085	-0.111	0.102	0.176	0.28	0.077	0.6	0.018	-0.135	0.096	-0.028	0.029	0.006	0.039	0.06	-0.024	-0.022	0.018	0.048	0.003	0.023	0.103	0.043	0.006	0.004	-0.002	0.007	-0.006	0	0.006	0.004	-0.005
dome_k4me2_up_3	0.107	-0.208	-0.055	0.208	0.055	-0.044	0.113	-0.093	0.022	0.012	-0.019	0.013	-0.005	-0.046	0.027	-0.126	-0.193	0.187	0.033	-0.359	0.011	-0.032	0.017	0.022	0.008	-0.008	0.065	0.17	0.032	-0.068	0.021	0.117	-0.036	-0.105	-0.073	-0.09	-0.057	0.113	0.242	0.099	-0.5	0.318	0.185	0.201	-0.185	0.059	-0.023	0.065	0.061	-0.02	-0.028	0.023	0.053	0.035	-0.05	-0.066	0.007	-0.001	-0.003	-0.003	-0.005	-0.017	0.012	-0.003	0.013	0.004
dome_k4me2_center_1	0.088	-0.193	-0.057	-0.003	0.233	-0.112	0.143	-0.119	0.038	0.036	-0.036	0.019	0.061	-0.068	0	0.246	0.578	0.231	0.025	0.09	-0.007	0.01	-0.027	0.002	-0.057	0.069	-0.109	-0.112	-0.114	0.04	-0.002	-0.156	-0.02	0.151	0.142	0.093	-0.012	0.06	0.265	0.234	-0.009	-0.082	0.101	0.064	-0.021	0.024	-0.009	-0.065	-0.001	0.17	-0.039	-0.026	0.23	0.103	-0.014	0.06	0.001	0.039	-0.002	-0.003	-0.029	-0.014	-0.011	0.009	0.006	0.008
dome_k4me2_center_2	0.082	-0.182	-0.113	0.024	0.242	-0.119	0.169	-0.14	0.053	0.035	-0.011	-0.017	0.017	-0.096	-0.043	-0.229	-0.273	-0.29	0.092	0.504	-0.071	0.042	0.022	-0.012	-0.009	0.028	-0.103	-0.054	-0.063	0.035	-0.071	-0.115	-0.057	0.158	0.108	0.12	-0.057	-0.099	-0.156	-0.039	-0.292	-0.077	0.142	0	0.001	0.064	-0.051	-0.052	-0.011	0.135	0.014	-0.021	-0.091	-0.001	-0.072	-0.205	-0.029	0.035	-0.001	-0.008	-0.013	0	0.003	-0.004	-0.01	0
dome_k4me2_center_3	0.086	-0.183	-0.106	0.014	0.243	-0.118	0.152	-0.13	0.037	0.034	0.002	0.017	0.041	-0.03	0.005	-0.104	-0.257	0.04	-0.27	-0.549	0.149	-0.022	-0.013	0.048	0.04	-0.04	-0.072	-0.019	-0.127	0.033	-0.06	-0.131	-0.043	0.176	0.11	0.132	0.006	-0.116	-0.108	-0.043	0.283	-0.196	-0.017	-0.04	0.075	0.054	-0.025	-0.082	-0.001	0.142	0.026	0.01	-0.138	-0.075	0.062	0.165	0.02	0.034	0.004	-0.01	0.002	0.003	-0.011	-0.008	0.002	-0.007
dome_k4me2_down_1	0.122	-0.294	-0.059	-0.112	0.018	0.043	0.049	-0.057	0.021	0.009	-0.021	0.01	0.018	0.02	0.007	0.13	0.162	-0.059	-0.139	0.042	-0.009	0.047	-0.039	0.013	-0.056	-0.007	-0.007	-0.143	0.043	0.016	0.029	-0.013	0.058	-0.133	0.001	-0.039	0.036	0.121	0.194	0.086	-0.024	0.076	-0.109	-0.079	-0.024	-0.094	0.022	0.009	-0.054	-0.224	0.121	0.026	-0.661	-0.311	0.039	-0.161	-0.002	-0.127	-0.035	0.02	0.076	0.048	0.042	-0.019	0.014	-0.006
dome_k4me2_down_2	0.119	-0.296	-0.103	-0.103	0.016	0.044	0.041	-0.059	0.023	-0.002	-0.008	-0.003	0.008	0.025	-0.014	0.036	-0.046	-0.173	-0.136	0.135	0.006	0.036	-0.032	0.004	-0.003	-0.013	-0.025	-0.117	0.056	0.01	0.006	0.018	0.028	-0.149	-0.055	-0.067	-0.008	0.02	-0.108	-0.065	-0.213	0.071	-0.08	-0.138	0.035	-0.095	0.059	0.031	-0.043	-0.197	-0.017	0.054	0.271	0.014	0.246	0.657	0.147	-0.052	-0.009	0.03	0.053	-0.025	0.02	0.001	0.028	0.01
dome_k4me2_down_3	0.123	-0.288	-0.101	-0.105	0.02	0.044	0.045	-0.065	0.015	0.003	-0.013	0.004	0.007	0.024	-0.012	0.046	-0.036	-0.108	-0.198	-0.113	0.055	0.008	-0.032	0.023	0.005	-0.02	-0.015	-0.104	0.039	0.001	0.006	-0.014	0.043	-0.128	-0.064	-0.06	0.05	0.026	-0.07	-0.064	0.113	-0.016	-0.184	-0.143	0.057	-0.119	0.062	0.023	-0.026	-0.231	-0.056	-0.073	0.422	0.256	-0.18	-0.549	-0.082	-0.08	0.022	0.023	0.024	-0.036	0.054	0.017	0.012	0.004
dome_k4me3_up_1	0.131	-0.074	0.155	0.198	0.072	0.077	-0.126	0.109	0.073	0.062	0.006	-0.031	0.061	0.089	-0.043	0.153	-0.06	-0.13	0.162	0.002	0.267	-0.116	0.109	0.104	0.053	0.002	-0.035	0.033	-0.013	-0.004	0.003	-0.025	-0.012	0.02	0.003	-0.065	-0.039	-0.065	-0.043	0.055	0.021	-0.036	0.021	0.3	-0.075	-0.339	0.151	-0.401	-0.408	-0.071	-0.079	-0.119	-0.052	0.032	-0.198	0.068	0.116	0.025	0.007	-0.018	0.016	0.007	0.007	-0.036	0.021	0
dome_k4me3_up_2	0.099	-0.044	0.136	0.195	0.127	0.111	-0.255	0.168	0.093	0.112	0.059	-0.022	0.105	-0.121	-0.24	-0.071	0.038	0.035	-0.172	0.106	0.193	-0.164	0.086	0.094	0.338	-0.018	-0.06	0.183	0.235	0.138	0.105	-0.03	0.211	-0.114	0.29	0.295	0.056	0.109	0.05	-0.004	-0.034	0.056	-0.065	-0.185	-0.016	0.137	-0.015	0.103	0.097	0.052	0.003	0.004	0.022	-0.012	0.012	-0.01	-0.001	-0.033	0.018	0.041	0.023	0.012	-0.004	-0.008	0.004	-0.005
