PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66
dome_h4k16ac_up_1	0.169	0.019	0.11	0.185	-0.001	0.121	0.033	-0.036	-0.033	-0.046	0.025	-0.004	-0.075	0.007	0.039	0.021	-0.017	-0.024	-0.043	-0.002	-0.002	-0.014	-0.024	-0.038	0.016	0.047	0.03	-0.126	0.129	0.03	0.106	-0.04	-0.047	0.106	-0.093	-0.003	0.063	0.089	0.048	-0.137	-0.034	-0.125	0.032	0.036	-0.014	-0.017	0.063	-0.067	-0.008	-0.007	0.036	0.083	0.041	-0.09	0.155	-0.031	-0.191	0.015	-0.096	-0.053	-0.203	0.114	-0.153	0.763	0.063	0.057
dome_h4k16ac_up_2	0.132	0.046	0.113	0.169	0.057	0.194	-0.017	-0.065	-0.004	-0.075	0.085	-0.007	-0.296	-0.049	0.05	0.062	0.004	-0.049	-0.134	0.059	0.026	-0.04	-0.02	0.004	-0.034	-0.082	-0.035	-0.13	0.011	0.045	-0.028	-0.171	0.026	-0.115	-0.04	-0.055	0.074	-0.318	0.287	-0.293	0.079	0.057	0.254	0.12	0.175	-0.149	-0.424	0.122	0.131	-0.012	-0.06	-0.123	-0.018	0.046	-0.025	0.02	0.106	-0.012	0.047	0.014	0.038	-0.036	0.041	-0.09	0.028	-0.058
dome_h4k16ac_center_1	0.142	0.112	0.083	-0.09	0.227	0.004	0.029	0.002	-0.062	-0.034	0.036	-0.007	-0.117	0.032	0.087	0.087	-0.036	-0.014	0.023	-0.029	-0.018	0.009	-0.032	-0.089	0.07	0.113	0.08	-0.1	0.242	0.072	0.187	0.064	-0.109	0.216	-0.232	0.044	0.177	0.31	0.096	-0.316	-0.05	-0.146	0.026	-0.075	-0.171	0.18	0.113	-0.078	-0.116	0.073	0.002	0.006	-0.007	0.033	-0.004	-0.007	0.079	-0.04	-0.003	-0.008	0.047	-0.18	0.124	-0.273	0.162	-0.274
dome_h4k16ac_center_2	0.09	0.143	0.091	-0.076	0.319	0.044	-0.019	-0.069	-0.023	-0.073	0.131	0.005	-0.539	-0.135	0.086	0.138	-0.054	0.05	-0.072	0.062	-0.027	-0.026	-0.018	-0.034	-0.005	-0.167	-0.003	0.104	-0.166	-0.014	-0.167	0.015	0.089	-0.232	0.013	-0.031	-0.068	-0.137	-0.024	0.147	0.025	0.162	-0.089	-0.14	-0.099	0.227	0.3	-0.12	-0.15	0.024	0.048	0.102	0.012	0	-0.028	-0.003	-0.065	0.057	-0.027	0.011	-0.008	0.042	-0.033	0.026	-0.018	0.036
dome_h4k16ac_down_1	0.173	-0.061	0.108	-0.142	-0.043	0.155	0.009	-0.056	-0.034	-0.035	0.034	-0.006	-0.078	-0.038	0.013	0.006	-0.021	0.028	0.018	-0.022	-0.025	0.011	-0.006	-0.017	0.01	0.053	0.006	0.001	0.106	-0.001	0.083	0.07	-0.05	0.133	-0.051	0.055	0.067	0.135	0.013	-0.093	-0.013	-0.108	0.06	0.017	0	0.052	-0.058	-0.015	-0.024	-0.022	-0.009	0.048	-0.013	0.054	-0.114	0.043	-0.033	0.152	0.024	0.093	0.123	0.259	-0.126	-0.196	-0.374	0.674
dome_h4k16ac_down_2	0.132	0.003	0.127	-0.131	0.034	0.212	-0.032	-0.104	-0.001	-0.07	0.086	0.001	-0.302	-0.138	-0.001	-0.005	-0.06	0.133	0.023	0.001	-0.021	0.016	0.033	0.031	-0.05	-0.007	-0.03	0.175	-0.07	-0.088	0.004	0.131	0.001	0.149	0.119	0.063	-0.035	0.321	-0.259	0.288	-0.103	-0.253	-0.126	0.12	0.071	-0.342	-0.205	0.075	0.2	-0.053	-0.03	-0.127	-0.007	-0.036	0.083	-0.013	0.034	-0.072	0.022	-0.021	-0.018	-0.121	0.055	0.004	0.065	-0.113
dome_k56ac_up_1	0.073	0.019	0.064	0.133	-0.086	-0.18	-0.294	-0.347	-0.086	-0.044	0.054	-0.019	0.135	-0.139	-0.346	0.435	-0.185	-0.116	0.044	-0.093	-0.321	0.089	-0.078	-0.057	-0.102	0.033	-0.07	0.117	-0.065	0.375	-0.073	0.016	-0.019	0.015	-0.02	-0.01	-0.008	0.049	0.01	-0.015	0.013	0.015	-0.006	-0.016	0.004	-0.012	-0.004	0.039	0	0.009	-0.002	0	0	0.004	-0.019	0.003	0.017	-0.009	0.003	-0.006	-0.013	-0.002	0	-0.003	0.001	0.002
dome_k56ac_center_1	0.052	0.035	0.058	0	-0.007	-0.343	-0.413	-0.488	-0.12	-0.031	0.093	-0.007	0.022	0.048	0.023	-0.082	0.075	-0.023	-0.035	0.034	0.132	-0.057	0.063	0.037	-0.002	-0.063	0.083	-0.144	0.104	-0.572	0.128	0.017	0.029	-0.027	0.022	0.067	0.04	-0.044	-0.019	0	-0.006	0	0.008	-0.004	-0.006	0.015	-0.012	-0.02	0.007	0.007	-0.002	-0.004	-0.009	0.001	0.003	0.001	-0.001	0.006	0.001	-0.001	0.004	-0.009	-0.005	0	-0.004	0.004
dome_k56ac_down_1	0.09	-0.061	0.094	-0.087	-0.153	-0.188	-0.242	-0.22	-0.066	-0.004	0.044	0.009	-0.075	0.178	0.334	-0.385	0.147	0.084	-0.055	0.085	0.229	0	0.031	0.054	0.086	0.003	-0.008	0.125	-0.122	0.556	-0.131	-0.049	-0.067	0.024	-0.076	-0.123	-0.035	0.066	0.035	-0.018	-0.022	-0.019	-0.022	0.008	0.017	-0.024	0.032	0.022	-0.034	0.003	-0.003	0.003	0.003	-0.008	-0.002	-0.005	0.007	-0.036	-0.009	-0.001	-0.014	-0.005	0.003	0.004	0.006	0.007
dome_k64ac_up_1	0.098	0.022	0.001	0.125	-0.119	-0.114	0.022	0.076	0.338	-0.298	0.107	0.012	-0.012	-0.01	-0.022	0.041	0.026	-0.004	-0.043	0.019	0.216	0.661	0.049	-0.064	0.06	0.034	0.024	0.113	-0.117	-0.099	-0.04	-0.072	0.316	0.16	-0.176	0.096	0.063	0.012	0.002	-0.034	-0.024	0.05	-0.017	-0.034	-0.022	0.002	0.019	0.02	0.003	0.001	-0.005	0.013	-0.011	0.024	-0.041	0.006	0.038	-0.006	0.026	-0.027	0.001	0.013	0.007	0.005	-0.017	0.001
dome_k64ac_up_2	0.169	0.062	-0.031	0.137	-0.115	-0.052	0.012	0.033	0.078	-0.02	0.005	-0.001	0.022	0.057	0.05	0.071	-0.062	0.067	0.007	0.026	-0.02	-0.025	-0.061	-0.154	0.201	0.055	0.051	-0.035	-0.104	-0.062	-0.055	-0.081	-0.045	-0.046	0.184	-0.116	-0.004	0.016	0	-0.035	-0.015	-0.041	-0.002	0.012	0.046	-0.06	-0.017	-0.042	-0.032	-0.004	0.032	0.017	0.04	-0.048	0.182	-0.032	-0.308	0.075	-0.628	0.237	0.084	-0.292	0.14	-0.144	-0.118	0.051
dome_k64ac_center_1	0.07	0.077	-0.014	-0.053	0.017	-0.264	0.036	0.105	0.477	-0.43	0.182	-0.009	-0.035	-0.096	-0.082	-0.099	0.097	-0.107	0.02	-0.067	-0.011	-0.108	0.045	0.145	-0.2	-0.018	-0.073	-0.043	0.236	0.106	0.133	0.162	-0.36	-0.196	0.159	-0.092	-0.044	-0.01	-0.005	0.03	0.041	-0.05	0.021	0.001	0.028	0.005	-0.009	-0.022	0.007	0.014	0.013	-0.01	0.005	-0.003	0.009	-0.004	-0.012	0.01	-0.002	0.007	-0.007	-0.005	-0.008	0.008	-0.005	0.014
dome_k64ac_center_2	0.142	0.125	-0.046	-0.085	0.057	-0.161	0.024	0.058	0.079	0.006	0.014	-0.001	0.035	0.089	0.09	0.146	-0.077	0.068	0.032	0.025	-0.014	-0.04	-0.119	-0.249	0.352	0.12	0.101	-0.007	-0.149	-0.099	-0.1	-0.069	-0.128	-0.057	0.358	-0.231	0.029	0.149	-0.009	-0.151	-0.012	0.032	0.033	0	0.037	-0.042	-0.016	0.039	0.037	-0.061	0.042	0.071	-0.021	0.019	-0.098	0.001	0.206	-0.196	0.331	-0.167	-0.026	0.013	0.042	0.149	-0.267	-0.023
dome_k64ac_down_1	0.11	-0.04	0.002	-0.136	-0.153	-0.071	0.01	0.042	0.249	-0.224	0.095	-0.02	0.042	-0.045	-0.031	-0.054	0.016	-0.004	0.093	-0.035	-0.181	-0.61	-0.078	-0.013	0.04	-0.037	0.078	-0.023	-0.193	-0.036	-0.118	-0.146	0.379	0.21	-0.271	0.136	0.058	-0.015	0.031	-0.024	-0.057	0.024	-0.04	-0.017	-0.041	-0.019	-0.002	0.022	-0.046	-0.004	0.015	0.01	-0.002	-0.006	0.011	0.005	0.026	-0.066	0.019	-0.023	-0.001	-0.016	0.02	0.022	-0.031	-0.016
dome_k64ac_down_2	0.177	-0.019	-0.042	-0.148	-0.139	-0.004	-0.007	0.017	0.068	-0.006	0.021	0.009	0.035	0.044	0.02	0.068	-0.043	0.029	0.006	0.022	-0.014	-0.029	-0.055	-0.119	0.155	0.049	0.03	0.029	-0.081	-0.074	-0.058	-0.01	-0.029	-0.05	0.145	-0.076	0.002	0.045	-0.021	-0.041	0.012	0.009	0.05	0.024	0.044	0.037	-0.028	-0.012	0.061	0.014	-0.01	0.012	-0.031	0.039	-0.094	0.012	-0.042	0.222	0.022	0.093	-0.027	0.26	-0.22	-0.108	0.766	0.113
dome_k122ac_up_1	0.102	0.016	0.11	0.163	0.064	0.153	-0.006	-0.013	-0.131	-0.313	-0.214	0.025	0.128	0.134	0	-0.031	0.029	-0.109	-0.198	0.081	0.218	-0.157	-0.264	-0.28	-0.364	0.033	-0.028	0.229	0.018	-0.067	0.045	0.068	0.001	0.31	0.167	-0.19	-0.105	-0.02	-0.004	0.051	0.039	0.191	-0.053	-0.149	-0.004	0.058	0.014	0.054	-0.015	0.028	-0.016	-0.017	0.003	0.002	-0.024	0	0.014	-0.001	0.015	0.008	0.021	-0.002	0.009	-0.04	0.011	-0.012
dome_k122ac_center_1	0.073	0.07	0.081	-0.071	0.255	0.023	-0.021	0.022	-0.221	-0.486	-0.399	0.077	0.251	0.097	0.001	-0.054	-0.017	0.071	0.024	0.016	-0.043	0.038	-0.01	-0.017	0.112	-0.025	-0.012	0.03	-0.088	0.008	-0.121	0	-0.003	-0.422	-0.151	0.254	0.095	0.028	-0.013	0.018	-0.039	-0.189	0.049	0.122	0.049	-0.044	-0.028	-0.035	0.025	-0.013	0.013	0.014	-0.006	0.003	-0.002	0.003	-0.02	0.008	-0.009	0	-0.009	0.012	-0.01	0.004	-0.006	0.005
dome_k122ac_down_1	0.107	-0.043	0.123	-0.124	0.027	0.189	-0.044	-0.052	-0.117	-0.289	-0.149	0.028	0.079	-0.086	-0.081	-0.09	-0.047	0.151	0.182	-0.045	-0.191	0.122	0.296	0.323	0.246	-0.092	-0.018	-0.235	0.023	0.013	0.075	-0.102	0.02	0.283	0.161	-0.32	-0.124	-0.125	0.014	-0.009	0.047	0.217	-0.077	-0.122	-0.023	0.024	0.059	0.028	-0.023	0.024	-0.018	-0.023	0.007	-0.02	0.027	-0.009	0.016	-0.008	0.006	0.004	0.013	-0.023	0.016	-0.002	0.025	-0.038
dome_ntac_up_1	0.107	0.117	0.024	0.126	-0.054	0.124	0.003	-0.091	0.179	0.092	-0.076	0.323	0.04	0.102	0.139	0.032	0.085	-0.147	-0.137	0.043	-0.194	0.04	-0.321	0.426	0.165	-0.044	-0.041	0.122	-0.087	-0.151	-0.085	0.006	-0.253	0.058	-0.106	0.216	-0.345	0.107	0.027	-0.091	0.074	0.093	-0.045	-0.024	-0.083	0.006	-0.001	0.026	-0.014	-0.016	-0.022	-0.011	-0.001	0.008	-0.019	0.002	0.026	-0.003	0.012	-0.01	0.016	-0.014	0.001	-0.011	-0.008	-0.009
dome_ntac_up_2	0.105	0.119	0.029	0.123	-0.046	0.122	0.009	-0.099	0.189	0.083	-0.188	-0.248	0.033	0.094	0.147	-0.002	0.127	-0.188	-0.247	-0.038	-0.247	-0.045	0.481	-0.123	0.049	0.041	-0.115	0.107	-0.118	-0.065	-0.075	0.024	-0.262	0.076	-0.06	0.076	0.379	-0.06	-0.058	0.141	-0.014	0.129	-0.046	-0.034	-0.059	0.022	0.03	0.037	0.014	-0.025	-0.005	-0.019	-0.001	0.003	-0.008	0.005	0.044	0	0.019	0.003	0.003	0.002	0.001	-0.014	-0.002	-0.005
dome_ntac_center_1	0.067	0.192	0.003	-0.071	0.123	0.022	0.015	-0.152	0.243	0.207	-0.165	0.607	0.08	0.039	0.056	-0.012	-0.004	-0.066	0.038	-0.037	-0.039	0.004	-0.02	0.028	-0.058	-0.078	0.006	0.038	0.12	0.091	0.087	0.101	0.3	-0.011	0.058	-0.268	0.354	-0.102	-0.048	0.121	-0.07	-0.093	0.073	0.012	0.071	0.002	-0.009	-0.031	0.014	0.025	0.012	0.01	0.007	-0.002	0.005	0.002	-0.018	-0.001	-0.01	0.009	-0.009	0.013	0.003	0.003	-0.009	0.01
dome_ntac_center_2	0.065	0.19	0.012	-0.069	0.136	0.02	0.025	-0.19	0.301	0.176	-0.343	-0.49	0.042	0.068	0.074	-0.014	0.025	-0.009	0.001	-0.051	-0.073	0.038	0.017	0.004	-0.079	-0.077	0.045	0.019	0.13	0.038	0.035	0.062	0.337	-0.09	0.017	-0.112	-0.416	0.089	0.033	-0.121	0.012	-0.133	0.05	0.013	0.067	-0.014	-0.023	-0.024	0.001	0.022	0.008	0.014	0.007	-0.003	0.007	-0.006	-0.017	0.01	-0.003	0	-0.002	0.014	-0.008	-0.003	-0.002	0.011
dome_ntac_down_1	0.102	0.119	0.004	-0.115	-0.059	0.169	-0.006	-0.149	0.173	0.115	-0.052	0.332	0.074	-0.122	-0.14	-0.06	-0.077	0.156	0.135	0.006	0.213	-0.035	0.339	-0.395	-0.194	0.02	-0.009	-0.162	-0.038	0.027	-0.065	-0.15	-0.168	-0.089	-0.06	0.225	-0.309	0.062	0.07	-0.115	0.056	0.107	-0.107	-0.035	-0.056	-0.005	0.02	0.052	-0.031	-0.061	-0.012	-0.01	0.009	-0.005	0.018	0.002	0.016	-0.006	0.013	-0.017	-0.004	-0.032	0.009	0.013	-0.01	-0.016
dome_ntac_down_2	0.099	0.122	0.007	-0.108	-0.052	0.165	-0.012	-0.167	0.191	0.115	-0.168	-0.295	0.037	-0.099	-0.168	-0.082	-0.087	0.203	0.229	0.039	0.249	0.062	-0.461	0.144	-0.045	-0.046	0.023	-0.111	-0.066	0.032	0.009	-0.085	-0.219	-0.018	-0.027	0.081	0.382	-0.125	-0.016	0.08	-0.006	0.133	-0.081	-0.053	-0.066	0.001	0.044	0.042	-0.005	-0.033	-0.008	-0.014	-0.004	-0.003	0.02	0.007	0.005	-0.005	0.004	-0.009	-0.011	-0.031	0.005	0.016	0.003	-0.018
